alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.12984042409154056,0.5877777777777778,0.7431695580944729,0.0,0.0,0.00030238700935891066,0.02774998609720487,0.02481005905744512
ModifiedNMF,50,1,0.1274975185575526,0.5905555555555555,0.7393590011048534,0.0,5.0,0.00032299936673498524,0.035821488136950394,0.027257470079276834
ModifiedNMF,50,2,0.1269848693764281,0.6027777777777777,0.7529194884178863,0.0,10.0,0.0002430669670181043,0.021872244094477265,0.019182263093420308
ModifiedNMF,50,3,0.12558429411781463,0.6127777777777779,0.7602623499611749,0.0,15.0,0.0002666304821539006,0.05010020822509158,0.04122740539583802
ModifiedNMF,50,4,0.1291509858996125,0.6044444444444445,0.7533551059847732,0.0,20.0,0.0002009876587045767,0.03560543376480965,0.030601126691477555
ModifiedNMF,50,5,0.1344683946440639,0.6133333333333334,0.7565031753801287,0.0,25.0,0.00016321377326038796,0.025260983431977052,0.012477431225159279
ModifiedNMF,50,6,0.14307924310903813,0.5938888888888888,0.7406474190651078,0.0,30.0,0.00017209283526521018,0.04612282314445655,0.0361038342342384
ModifiedNMF,50,7,0.1425863820926347,0.6161111111111112,0.7624100638015547,0.0,35.0,0.00010222240279840299,0.015762512176790113,0.012317538133636048
NmfHyperEstimator,50,0,0.13934890369575126,0.7755555555555554,0.8815854221989763,0.0,0.0,0.009259945377959706,0.029488960060200468,0.013487350498795847
NmfHyperEstimator,50,1,0.13429724452926214,0.76,0.8711927748171175,0.0,5.0,0.005005877914984856,0.016850834320114545,0.010880639513929466
NmfHyperEstimator,50,2,0.13228596578749827,0.7444444444444445,0.865285861876257,0.0,10.0,0.0018267075815403021,0.0314882890243184,0.016995315823545
NmfHyperEstimator,50,3,0.14112078730610794,0.7488888888888889,0.8639233015988512,0.0,15.0,0.00836385213257896,0.02781941324123173,0.014023942678363524
NmfHyperEstimator,50,4,0.15771600820624757,0.6955555555555556,0.8327925412122126,0.0,20.0,0.004000087646650017,0.016029486718059458,0.01437776485453038
NmfHyperEstimator,50,5,0.1497606973147873,0.7261111111111112,0.8517662729485596,0.0,25.0,0.006582971410659523,0.02937097752863624,0.013319199348048974
NmfHyperEstimator,50,6,0.15413788547019733,0.725,0.8420477933423864,0.0,30.0,0.004190310920419474,0.027357938338322545,0.019174018059551746
NmfHyperEstimator,50,7,0.152097765258831,0.6972222222222222,0.8303793983098341,0.0,35.0,0.0017636232777115137,0.017677669529663712,0.010499537518132079
NmfL1Estimator,50,0,0.304533021722325,0.195,0.370850531406491,0.0,0.0,0.0005957307444101122,0.007190099503080445,0.01480452149359559
NmfL1Estimator,50,1,0.2921467218334249,0.18722222222222223,0.3628602081258763,0.0,5.0,0.0005111602775104814,0.006394924685122965,0.014670437039045381
NmfL1Estimator,50,2,0.2713380679429489,0.1911111111111111,0.36985099228112867,0.0,10.0,0.0004833139041209579,0.0063343079172174434,0.015370615027290436
NmfL1Estimator,50,3,0.2458529226111931,0.17666666666666667,0.36048132133912414,0.0,15.0,0.0003263113507116622,0.0037267799624996485,0.01128004323549666
NmfL1Estimator,50,4,0.23121811435439038,0.17888888888888888,0.3352896373348182,0.0,20.0,0.0002975185558631863,0.010130323627116923,0.011330205875829146
NmfL1Estimator,50,5,0.2230438774074243,0.17333333333333334,0.3468091677352046,0.0,25.0,0.00024669094746301916,0.0037267799624996446,0.01028421723632213
NmfL1Estimator,50,6,0.22219636485895453,0.18055555555555555,0.356039260669081,0.0,30.0,0.00032374439939288194,0.007081971546656654,0.013611092916403073
NmfL1Estimator,50,7,0.21127827173677596,0.18222222222222223,0.3595864281197032,0.0,35.0,0.0002115050995456641,0.006972166887783958,0.015444170538818056
NmfL2Estimator,50,0,0.14684240405270918,0.7244444444444446,0.8496829099750851,0.0,0.0,0.000493286869168179,0.028150280133684973,0.015300247037910053
NmfL2Estimator,50,1,0.14502975675969138,0.725,0.8521609382573739,0.0,5.0,0.0006008424315892938,0.03903741478487562,0.019948990809712096
NmfL2Estimator,50,2,0.14393121196459235,0.7433333333333334,0.8580245319164952,0.0,10.0,0.0004684444747443873,0.02602823727804994,0.015696870615123464
NmfL2Estimator,50,3,0.14214576076848262,0.7305555555555555,0.8560674280976274,0.0,15.0,0.00033657850072283264,0.03390709893259363,0.01760959472441886
NmfL2Estimator,50,4,0.14479259064596067,0.7255555555555555,0.8492602460371435,0.0,20.0,0.0003660285856601694,0.01857168294494084,0.011501965991100753
NmfL2Estimator,50,5,0.14914237446450535,0.6988888888888889,0.8319609937101408,0.0,25.0,0.0002564224431762589,0.02795775031130251,0.017072880878466045
NmfL2Estimator,50,6,0.15687276072742812,0.6927777777777779,0.8256308249404121,0.0,30.0,9.988759176173048e-05,0.011553685746158537,0.009917331667508154
NmfL2Estimator,50,7,0.1558507767899438,0.6683333333333333,0.8069023199566983,0.0,35.0,0.00016096790737106173,0.02353746684923874,0.007124601746068272
