,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
0,ModifiedNMF,50,{},0,0,0.12978743776792714,0.5527777777777778,0.7204630273946756,0.0,0.0
1,NmfL2Estimator,50,{},0,0,0.14659401445819567,0.7722222222222223,0.869413592738526,0.0,0.0
2,NmfHyperEstimator,50,{},0,0,0.1464377558637464,0.8,0.8879980509663261,0.0,0.0
3,NmfL1Estimator,50,{},0,0,0.3049631748019355,0.19722222222222222,0.36438069787656047,0.0,0.0
4,ModifiedNMF,50,{},0,1,0.12974008924581426,0.6027777777777777,0.763567745543076,0.0,0.0
5,NmfL2Estimator,50,{},0,1,0.14711032263781645,0.725,0.8530768604845698,0.0,0.0
6,NmfHyperEstimator,50,{},0,1,0.1475735420983823,0.7277777777777777,0.8673981376481604,0.0,0.0
7,NmfL1Estimator,50,{},0,1,0.3052563585614815,0.2,0.34857114107425785,0.0,0.0
8,ModifiedNMF,50,{},0,2,0.13025712775109174,0.5638888888888889,0.7120938133275825,0.0,0.0
9,NmfL2Estimator,50,{},0,2,0.14693606673732418,0.7055555555555556,0.842449888324273,0.0,0.0
10,NmfHyperEstimator,50,{},0,2,0.1290394820622694,0.7916666666666666,0.8871155719754921,0.0,0.0
11,NmfL1Estimator,50,{},0,2,0.304280042285132,0.20277777777777778,0.38594962745792366,0.0,0.0
12,ModifiedNMF,50,{},0,3,0.12943989286242874,0.6166666666666667,0.7579208606331038,0.0,0.0
13,NmfL2Estimator,50,{},0,3,0.14614367462070685,0.7027777777777777,0.828377028693868,0.0,0.0
14,NmfHyperEstimator,50,{},0,3,0.14413677060911548,0.7666666666666667,0.8676721808122179,0.0,0.0
15,NmfL1Estimator,50,{},0,3,0.3037350061724115,0.18611111111111112,0.37473282867641944,0.0,0.0
16,ModifiedNMF,50,{},0,4,0.12997757283044084,0.6027777777777777,0.7618023435739265,0.0,0.0
17,NmfL2Estimator,50,{},0,4,0.1474279418095028,0.7166666666666667,0.8550971796341886,0.0,0.0
18,NmfHyperEstimator,50,{},0,4,0.1295569678452427,0.7916666666666666,0.8977431695926853,0.0,0.0
