,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,10,{},0,0,0.3536505749419477,0.6444444444444445,0.7863371668371004,0.1,0.0
1,NmfL2Estimator,10,{},0,0,0.3572827001674439,0.6305555555555555,0.8117770531172257,0.1,0.0
2,NmfHyperEstimator,10,{},0,0,0.35275283899615806,0.6722222222222223,0.8254687288770537,0.1,0.0
3,NmfL1Estimator,10,{},0,0,0.424444476425246,0.21388888888888888,0.39441921774912764,0.1,0.0
4,ModifiedNMF,10,{},0,1,0.3540184268852156,0.6416666666666667,0.8013688520661452,0.1,0.0
5,NmfL2Estimator,10,{},0,1,0.356295804315066,0.6694444444444444,0.8189401516402036,0.1,0.0
6,NmfHyperEstimator,10,{},0,1,0.3553209307050716,0.6555555555555556,0.8231340431998454,0.1,0.0
7,NmfL1Estimator,10,{},0,1,0.42155457691818504,0.23333333333333334,0.4211889249837785,0.1,0.0
8,ModifiedNMF,10,{},0,2,0.3532003173868919,0.6805555555555556,0.8127436801679337,0.1,0.0
9,NmfL2Estimator,10,{},0,2,0.35576075024342463,0.6638888888888889,0.80353618901062,0.1,0.0
10,NmfHyperEstimator,10,{},0,2,0.35215103744700976,0.7111111111111111,0.8451061939502299,0.1,0.0
11,NmfL1Estimator,10,{},0,2,0.41874537840816295,0.225,0.4239292186500814,0.1,0.0
12,ModifiedNMF,10,{},0,3,0.3535734813364697,0.6194444444444445,0.7836421814936458,0.1,0.0
13,NmfL2Estimator,10,{},0,3,0.3560959225066594,0.675,0.8081103920712774,0.1,0.0
14,NmfHyperEstimator,10,{},0,3,0.3538195820527346,0.6916666666666667,0.8501183159081134,0.1,0.0
15,NmfL1Estimator,10,{},0,3,0.424642299109202,0.21944444444444444,0.40565775481245875,0.1,0.0
16,ModifiedNMF,10,{},0,4,0.35333856923002255,0.6694444444444444,0.802855462523131,0.1,0.0
17,NmfL2Estimator,10,{},0,4,0.3562812176183236,0.6777777777777778,0.8197353956889343,0.1,0.0
18,NmfHyperEstimator,10,{},0,4,0.3548243734159072,0.6861111111111111,0.8360278017395937,0.1,0.0
19,NmfL1Estimator,10,{},0,4,0.42336119536757694,0.2222222222222222,0.400632025711734,0.1,0.0
20,ModifiedNMF,10,{},1,0,0.3605551234816871,0.6583333333333333,0.79677007751566,0.1,0.5
21,NmfL2Estimator,10,{},1,0,0.3627510369917953,0.6944444444444444,0.824678077021985,0.1,0.5
22,NmfHyperEstimator,10,{},1,0,0.361581550533975,0.6472222222222223,0.8191338760070955,0.1,0.5
23,NmfL1Estimator,10,{},1,0,0.41669113083969295,0.225,0.41357783113920077,0.1,0.5
24,ModifiedNMF,10,{},1,1,0.3612760357052707,0.6583333333333333,0.8090205184510506,0.1,0.5
25,NmfL2Estimator,10,{},1,1,0.36358712299016327,0.6138888888888889,0.7915418091489842,0.1,0.5
26,NmfHyperEstimator,10,{},1,1,0.3609099957821874,0.6555555555555556,0.806066750324419,0.1,0.5
27,NmfL1Estimator,10,{},1,1,0.4170505773939253,0.20277777777777778,0.4020351876733384,0.1,0.5
28,ModifiedNMF,10,{},1,2,0.3594982311094114,0.6611111111111111,0.8038229623113118,0.1,0.5
