alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.11408911544535953,0.665,0.8050398564909192,0.0,0.5,0.0008096483984333135,0.023634588001486302,0.016150611390114433
ModifiedNMF,50,1,0.2856958971157014,0.6175,0.7751748527007296,0.1,0.5,0.0013300118105136125,0.032295026706909466,0.018684673302052698
ModifiedNMF,50,2,0.3620542741390862,0.51375,0.7028408040297993,0.2,0.5,0.0009973273875179152,0.032295026706909556,0.042880546690889865
ModifiedNMF,50,3,0.41263703778782307,0.45375,0.6625814811535417,0.30000000000000004,0.5,0.00102809902302842,0.039676425620259685,0.04143976304774005
ModifiedNMF,50,4,0.4490123658486606,0.39375,0.5980789829753317,0.4,0.5,0.0011253685641622547,0.011692679333668562,0.014235669756315043
ModifiedNMF,50,5,0.4767890686752976,0.34875,0.5540361760336971,0.5,0.5,0.0009987597663487949,0.012022115038544596,0.012766439284200575
NmfHyperEstimator,50,0,0.1288234652612182,0.7825,0.8796663707080103,0.0,0.5,0.0072070831642165,0.022707377655731182,0.012832061761506282
NmfHyperEstimator,50,1,0.2816222201686401,0.66,0.8101235125480981,0.1,0.5,0.0015046222817693654,0.01688657010763288,0.014684678169165688
NmfHyperEstimator,50,2,0.35390074490582557,0.5412499999999999,0.7133093427246491,0.2,0.5,0.0013665237024126397,0.011353688827865603,0.007070112389092358
NmfHyperEstimator,50,3,0.4003214962852476,0.4525,0.6469596703646027,0.30000000000000004,0.5,0.0009417701061035155,0.03496650182674841,0.018347715292269695
NmfHyperEstimator,50,4,0.43496154157270883,0.41375,0.6173413203375555,0.4,0.5,0.0009655876085254465,0.03010398644698074,0.02000665800211681
NmfHyperEstimator,50,5,0.4610014805560504,0.35875,0.5818806687516477,0.5,0.5,0.0009168781189380087,0.023634588001486285,0.017141791331907998
NmfL1Estimator,50,0,0.29991747803384394,0.30500000000000005,0.5359656368205922,0.0,0.5,0.003450291783795255,0.005229125165837984,0.0131740772967416
NmfL1Estimator,50,1,0.41154114118276813,0.32625,0.5551027551536493,0.1,0.5,0.0025703553560971547,0.016177723881930967,0.020790319910533435
NmfL1Estimator,50,2,0.4825826071526363,0.305,0.5451189808998779,0.2,0.5,0.0022157127666006353,0.018957188610128895,0.023605881822552004
NmfL1Estimator,50,3,0.5336724168000009,0.31999999999999995,0.5495229102154191,0.30000000000000004,0.5,0.0018994342137577042,0.012022115038544601,0.016468217057674452
NmfL1Estimator,50,4,0.5722468638864412,0.3175,0.5567582072126482,0.4,0.5,0.0016295631390756563,0.0120221150385446,0.007480428857969285
NmfL1Estimator,50,5,0.6032659266831744,0.30874999999999997,0.5316976257954434,0.5,0.5,0.0016519081927446233,0.012960275845829827,0.025882018789803944
NmfL2Estimator,50,0,0.1342229504965872,0.75375,0.861162685580237,0.0,0.5,0.0007813189415930378,0.03174606274800075,0.022534813718281848
NmfL2Estimator,50,1,0.300727691609816,0.60125,0.7656491619633884,0.1,0.5,0.0012714378777868248,0.03377314021526576,0.027543085786951565
NmfL2Estimator,50,2,0.3764429991148098,0.4699999999999999,0.670888730085411,0.2,0.5,0.0013523390690289695,0.027386127875258306,0.014335928124677065
NmfL2Estimator,50,3,0.42501722148967513,0.37875000000000003,0.6007334466123667,0.30000000000000004,0.5,0.0012770361494713527,0.011353688827865588,0.00859823900541008
NmfL2Estimator,50,4,0.46054886882811485,0.37124999999999997,0.5870759026217789,0.4,0.5,0.000998422385584089,0.027099354235848503,0.014008082122224957
NmfL2Estimator,50,5,0.4880799553753811,0.32375,0.5532283169513935,0.5,0.5,0.0010980991491122423,0.012808688457449516,0.010827155792131988
