,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,50,{},0,0,0.12889627483666444,0.6055555555555555,0.7348606646618316,0.0,0.5
1,NmfL2Estimator,50,{},0,0,0.14649470085096514,0.7166666666666667,0.8432352623351351,0.0,0.5
2,NmfHyperEstimator,50,{},0,0,0.1406411844217846,0.7583333333333333,0.8660822672051347,0.0,0.5
3,NmfL1Estimator,50,{},0,0,0.30311945332542367,0.2111111111111111,0.38037297570220496,0.0,0.5
4,ModifiedNMF,50,{},0,1,0.12952779768718753,0.65,0.7822553471833368,0.0,0.5
5,NmfL2Estimator,50,{},0,1,0.14762572484277647,0.7611111111111111,0.870891169072555,0.0,0.5
6,NmfHyperEstimator,50,{},0,1,0.1453926931833587,0.7611111111111111,0.8741133449027472,0.0,0.5
7,NmfL1Estimator,50,{},0,1,0.3043342677952252,0.20277777777777778,0.38679448027651964,0.0,0.5
8,ModifiedNMF,50,{},0,2,0.13011351915814592,0.5611111111111111,0.7199635027990056,0.0,0.5
9,NmfL2Estimator,50,{},0,2,0.14749343710925625,0.7777777777777778,0.8781086950210004,0.0,0.5
10,NmfHyperEstimator,50,{},0,2,0.129174817475995,0.7694444444444445,0.860938620052501,0.0,0.5
11,NmfL1Estimator,50,{},0,2,0.3061063094019042,0.19444444444444445,0.38159433569382517,0.0,0.5
12,ModifiedNMF,50,{},0,3,0.13025029058031118,0.6138888888888889,0.752317371959682,0.0,0.5
13,NmfL2Estimator,50,{},0,3,0.14722885050546874,0.7361111111111112,0.8505840415861113,0.0,0.5
14,NmfHyperEstimator,50,{},0,3,0.13594009261736473,0.775,0.8873981913293111,0.0,0.5
15,NmfL1Estimator,50,{},0,3,0.304082571788201,0.21388888888888888,0.3811405899655851,0.0,0.5
16,ModifiedNMF,50,{},0,4,0.13031248362976627,0.6555555555555556,0.7833783312319077,0.0,0.5
17,NmfL2Estimator,50,{},0,4,0.14766617424809073,0.7361111111111112,0.8421614118621278,0.0,0.5
18,NmfHyperEstimator,50,{},0,4,0.13770560634070553,0.7444444444444445,0.8711023152369597,0.0,0.5
19,NmfL1Estimator,50,{},0,4,0.3044732704453316,0.18333333333333332,0.3431413182406043,0.0,0.5
20,ModifiedNMF,50,{},1,0,0.320306542774088,0.6444444444444445,0.7930809014362401,0.1,0.5
21,NmfL2Estimator,50,{},1,0,0.33065775137991243,0.6694444444444444,0.8059605748360287,0.1,0.5
22,NmfHyperEstimator,50,{},1,0,0.32906106617418585,0.7027777777777777,0.8341585381735592,0.1,0.5
23,NmfL1Estimator,50,{},1,0,0.4156409938617636,0.20277777777777778,0.3899236923524972,0.1,0.5
24,ModifiedNMF,50,{},1,1,0.3211602553184955,0.6194444444444445,0.7868800174278087,0.1,0.5
25,NmfL2Estimator,50,{},1,1,0.3312527930786074,0.6805555555555556,0.80762907854656,0.1,0.5
26,NmfHyperEstimator,50,{},1,1,0.32429896308159784,0.65,0.7894285346283704,0.1,0.5
27,NmfL1Estimator,50,{},1,1,0.41647618727783436,0.18611111111111112,0.3761918362497852,0.1,0.5
28,ModifiedNMF,50,{},1,2,0.32230631410416893,0.6472222222222223,0.8086613436224651,0.1,0.5
29,NmfL2Estimator,50,{},1,2,0.3321951343541862,0.6694444444444444,0.8019127326041736,0.1,0.5
30,NmfHyperEstimator,50,{},1,2,0.32315248328473006,0.6861111111111111,0.8327431501711288,0.1,0.5
31,NmfL1Estimator,50,{},1,2,0.41846903774315847,0.18333333333333332,0.3715789337803221,0.1,0.5
32,ModifiedNMF,50,{},1,3,0.32109233256695285,0.6138888888888889,0.7517507929699806,0.1,0.5
33,NmfL2Estimator,50,{},1,3,0.331437350331842,0.6694444444444444,0.7889836345190245,0.1,0.5
34,NmfHyperEstimator,50,{},1,3,0.32416072187897177,0.7027777777777777,0.8336918476028025,0.1,0.5
35,NmfL1Estimator,50,{},1,3,0.41645711819832987,0.19722222222222222,0.37449239710046756,0.1,0.5
36,ModifiedNMF,50,{},1,4,0.3210386355641567,0.6027777777777777,0.7504506726464206,0.1,0.5
37,NmfL2Estimator,50,{},1,4,0.3310552009346912,0.6472222222222223,0.7811918662461027,0.1,0.5
38,NmfHyperEstimator,50,{},1,4,0.3177332523661697,0.675,0.8166224550712708,0.1,0.5
39,NmfL1Estimator,50,{},1,4,0.41599205706262815,0.20555555555555555,0.38570059417815067,0.1,0.5
