,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,10,{},0,0,0.3603444140291404,0.5944444444444444,0.7884105382664784,0.1,0.5
1,ModifiedNMF,20,{},0,0,0.3461268677795958,0.6861111111111111,0.8162598703284687,0.1,0.5
2,ModifiedNMF,30,{},0,0,0.3365131505528102,0.6305555555555555,0.7758480168120493,0.1,0.5
3,ModifiedNMF,40,{},0,0,0.32847349478531945,0.6638888888888889,0.8070289129521984,0.1,0.5
4,ModifiedNMF,50,{},0,0,0.32116901853440555,0.6166666666666667,0.7632191896711411,0.1,0.5
5,NmfL2Estimator,10,{},0,0,0.3623136834838791,0.6222222222222222,0.7994354642006457,0.1,0.5
6,NmfL2Estimator,20,{},0,0,0.35069119954546923,0.6944444444444444,0.8279610203088529,0.1,0.5
7,NmfL2Estimator,30,{},0,0,0.3431234466950096,0.7194444444444444,0.8320149923981616,0.1,0.5
8,NmfL2Estimator,40,{},0,0,0.336745662798004,0.6361111111111111,0.7986767741332599,0.1,0.5
9,NmfL2Estimator,50,{},0,0,0.3311290548991297,0.6388888888888888,0.7932959572045413,0.1,0.5
10,NmfHyperEstimator,10,{},0,0,0.36130966135424425,0.6277777777777778,0.7978694852138292,0.1,0.5
11,NmfHyperEstimator,20,{},0,0,0.34639673114211267,0.7333333333333333,0.8525244569743623,0.1,0.5
12,NmfHyperEstimator,30,{},0,0,0.33810626921989684,0.7055555555555556,0.8378783805086819,0.1,0.5
13,NmfHyperEstimator,40,{},0,0,0.33084452779005624,0.7194444444444444,0.8349908087079331,0.1,0.5
14,NmfHyperEstimator,50,{},0,0,0.325196147273565,0.6388888888888888,0.7974634112661689,0.1,0.5
15,NmfL1Estimator,10,{},0,0,0.4156749182903405,0.2111111111111111,0.413265171229117,0.1,0.5
16,NmfL1Estimator,20,{},0,0,0.4176163646112135,0.2111111111111111,0.38305663418499225,0.1,0.5
17,NmfL1Estimator,30,{},0,0,0.4175665371944965,0.19722222222222222,0.3824235492292683,0.1,0.5
18,NmfL1Estimator,40,{},0,0,0.41687633787405615,0.20555555555555555,0.3735448141035265,0.1,0.5
19,NmfL1Estimator,50,{},0,0,0.4161488497730761,0.19722222222222222,0.3777576659641973,0.1,0.5
20,ModifiedNMF,10,{},0,1,0.35971728029871847,0.625,0.7923775145052965,0.1,0.5
21,ModifiedNMF,20,{},0,1,0.34562695018058986,0.6694444444444444,0.819039156232854,0.1,0.5
22,ModifiedNMF,30,{},0,1,0.33598195066150943,0.7027777777777777,0.8398237414463355,0.1,0.5
23,ModifiedNMF,40,{},0,1,0.3279493840325017,0.6416666666666667,0.7931390860342101,0.1,0.5
24,ModifiedNMF,50,{},0,1,0.3206254531281534,0.5888888888888889,0.7557408507261577,0.1,0.5
25,NmfL2Estimator,10,{},0,1,0.3621229721559535,0.6722222222222223,0.8152443346603626,0.1,0.5
26,NmfL2Estimator,20,{},0,1,0.3510023537839646,0.6694444444444444,0.8280328122413744,0.1,0.5
27,NmfL2Estimator,30,{},0,1,0.3427067802866271,0.6694444444444444,0.8173230871541963,0.1,0.5
28,NmfL2Estimator,40,{},0,1,0.336437807680661,0.7222222222222222,0.8333740799360924,0.1,0.5
29,NmfL2Estimator,50,{},0,1,0.33121240289765785,0.6111111111111112,0.7787996227619188,0.1,0.5
30,NmfHyperEstimator,10,{},0,1,0.35931146000130276,0.6527777777777778,0.8209606122824893,0.1,0.5
31,NmfHyperEstimator,20,{},0,1,0.3484790263748896,0.7027777777777777,0.8445418577397857,0.1,0.5
32,NmfHyperEstimator,30,{},0,1,0.3387611430713268,0.7111111111111111,0.8361798995140173,0.1,0.5
33,NmfHyperEstimator,40,{},0,1,0.32846980974271417,0.6888888888888889,0.8216920465178211,0.1,0.5
34,NmfHyperEstimator,50,{},0,1,0.3210201014675151,0.7027777777777777,0.8260791840856219,0.1,0.5
35,NmfL1Estimator,10,{},0,1,0.4159649533593607,0.21388888888888888,0.39354576503123323,0.1,0.5
36,NmfL1Estimator,20,{},0,1,0.4172228638298096,0.19166666666666668,0.36583894648246573,0.1,0.5
37,NmfL1Estimator,30,{},0,1,0.41675527476161056,0.19166666666666668,0.37101154056041524,0.1,0.5
38,NmfL1Estimator,40,{},0,1,0.4165310788287887,0.19722222222222222,0.40152548713894126,0.1,0.5
39,NmfL1Estimator,50,{},0,1,0.4156593577808712,0.19722222222222222,0.3945796018771391,0.1,0.5
40,ModifiedNMF,10,{},0,2,0.36117763736649744,0.625,0.7833900688184178,0.1,0.5
41,ModifiedNMF,20,{},0,2,0.3468794328946617,0.7055555555555556,0.8273648214967011,0.1,0.5
42,ModifiedNMF,30,{},0,2,0.33725594770256134,0.6555555555555556,0.8005442890171358,0.1,0.5
43,ModifiedNMF,40,{},0,2,0.3292523500779481,0.6722222222222223,0.8314312142421385,0.1,0.5
44,ModifiedNMF,50,{},0,2,0.32169007575272707,0.6583333333333333,0.809644506502694,0.1,0.5
45,NmfL2Estimator,10,{},0,2,0.36419327562036563,0.6333333333333333,0.7844097837444883,0.1,0.5
46,NmfL2Estimator,20,{},0,2,0.35178299697426846,0.6888888888888889,0.8224413067775548,0.1,0.5
47,NmfL2Estimator,30,{},0,2,0.3438422901610007,0.7055555555555556,0.8379539091411676,0.1,0.5
48,NmfL2Estimator,40,{},0,2,0.33764471503584853,0.6666666666666666,0.8065507327413919,0.1,0.5
49,NmfL2Estimator,50,{},0,2,0.33233248768739554,0.6805555555555556,0.8205238787699627,0.1,0.5
50,NmfHyperEstimator,10,{},0,2,0.3632171470295763,0.6555555555555556,0.8131629412880875,0.1,0.5
51,NmfHyperEstimator,20,{},0,2,0.35208393715127795,0.6861111111111111,0.8303644676044857,0.1,0.5
52,NmfHyperEstimator,30,{},0,2,0.33651057632806486,0.6916666666666667,0.823313941878841,0.1,0.5
53,NmfHyperEstimator,40,{},0,2,0.3330047174334706,0.6916666666666667,0.8237806246944205,0.1,0.5
54,NmfHyperEstimator,50,{},0,2,0.32235464661951113,0.7111111111111111,0.8250262352149319,0.1,0.5
55,NmfL1Estimator,10,{},0,2,0.41723514860320354,0.20555555555555555,0.38311901125048325,0.1,0.5
56,NmfL1Estimator,20,{},0,2,0.41864371363168595,0.20277777777777778,0.4098178444104503,0.1,0.5
57,NmfL1Estimator,30,{},0,2,0.41786772087249935,0.18888888888888888,0.3799323680254855,0.1,0.5
58,NmfL1Estimator,40,{},0,2,0.4174514690077777,0.2,0.38692344939941686,0.1,0.5
59,NmfL1Estimator,50,{},0,2,0.4167808464839596,0.18611111111111112,0.3568783561997766,0.1,0.5
60,ModifiedNMF,10,{},0,3,0.35999197835894853,0.65,0.8047196993707962,0.1,0.5
61,ModifiedNMF,20,{},0,3,0.34583637046627935,0.6555555555555556,0.8061951439123898,0.1,0.5
