alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.11578622240932276,0.675,0.8179784461109951,0.0,0.0,0.0009853869137091628,0.01169267933366857,0.01252975711012234
ModifiedNMF,50,1,0.1128050741843167,0.66875,0.8048515478109971,0.0,5.0,0.0008796632049981179,0.025769410160110372,0.019144218603075556
ModifiedNMF,50,2,0.11059069576065172,0.66875,0.8085273828044046,0.0,10.0,0.0007009794167604858,0.025387620014487373,0.019879498756722548
ModifiedNMF,50,3,0.1084143932171032,0.6675000000000001,0.8144402550819088,0.0,15.0,0.0005808614100442401,0.014921670482891603,0.01668945701563192
ModifiedNMF,50,4,0.11742963898791321,0.6475,0.798032152705052,0.0,20.0,0.0005584503954430026,0.03942952573896875,0.025852790698464054
NmfHyperEstimator,50,0,0.12937479409574879,0.76,0.8764005879048202,0.0,0.0,0.011302362577309976,0.02599579292885677,0.016677621584710766
NmfHyperEstimator,50,1,0.11238659385089164,0.76875,0.8752950929985464,0.0,5.0,0.0009654486298863105,0.006250000000000024,0.009649373019849918
NmfHyperEstimator,50,2,0.12190341711864902,0.77125,0.8736294627216035,0.0,10.0,0.011517813932949443,0.030809393859665586,0.018978405412485373
NmfHyperEstimator,50,3,0.11835521479743949,0.7550000000000001,0.8716770233689243,0.0,15.0,0.007870809630924727,0.018434851504690795,0.012430224702621237
NmfHyperEstimator,50,4,0.1325679171424821,0.7337499999999999,0.8551539480865097,0.0,20.0,0.004423058205406206,0.033541019662496875,0.0169327989452198
NmfL1Estimator,50,0,0.30230334831897543,0.3175,0.5471011259839035,0.0,0.0,0.0023204069959196307,0.011180339887498954,0.016188867877528525
NmfL1Estimator,50,1,0.2884455110592211,0.31,0.5419245174877307,0.0,5.0,0.0025577949449475334,0.010458250331675937,0.013963715101396441
NmfL1Estimator,50,2,0.2642490959091083,0.30625,0.5329794295135526,0.0,10.0,0.0023305732120843126,0.012499999999999989,0.01782273124922144
NmfL1Estimator,50,3,0.2378031333341243,0.29125,0.5415420994319847,0.0,15.0,0.0018953546690637555,0.012960275845829832,0.009556568459505674
NmfL1Estimator,50,4,0.23392906868914437,0.305,0.5445465595256762,0.0,20.0,0.0016754174894607903,0.013549677117924241,0.014498508460029784
NmfL2Estimator,50,0,0.13525063704488344,0.73875,0.8600712771076615,0.0,0.0,0.0011679839710518794,0.021378289220608873,0.012773410531721627
NmfL2Estimator,50,1,0.13244779979344473,0.74,0.8571867460966531,0.0,5.0,0.0008185492251754873,0.014388580541526672,0.009388382647437443
NmfL2Estimator,50,2,0.1294176274267297,0.7637499999999999,0.869660021254521,0.0,10.0,0.0006814121400760518,0.008149003006503347,0.011286498512278753
NmfL2Estimator,50,3,0.12670419088751056,0.7337499999999999,0.8566854019525119,0.0,15.0,0.0005649892472150066,0.022360679774997925,0.01650081064902577
NmfL2Estimator,50,4,0.13480099268830217,0.7474999999999999,0.8643494425721598,0.0,20.0,0.00022953979559290396,0.03354101966249681,0.018122194592540216
