,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,50,{},0,0,0.11449924221668754,0.65625,0.8042327435626065,0.0,0.5
1,NmfL2Estimator,50,{},0,0,0.13409022043460359,0.74375,0.8560050833062929,0.0,0.5
2,NmfHyperEstimator,50,{},0,0,0.13365688702158873,0.78125,0.8808121482132071,0.0,0.5
3,NmfL1Estimator,50,{},0,0,0.30142823068382885,0.3125,0.5438196583700222,0.0,0.5
4,ModifiedNMF,50,{},0,1,0.11299412263980183,0.675,0.8124450310941728,0.0,0.5
5,NmfL2Estimator,50,{},0,1,0.1335121526540928,0.7625,0.8580423793869767,0.0,0.5
6,NmfHyperEstimator,50,{},0,1,0.1190810885390214,0.78125,0.8763491627251597,0.0,0.5
7,NmfL1Estimator,50,{},0,1,0.2942065670119495,0.30625,0.5229611160444252,0.0,0.5
8,ModifiedNMF,50,{},0,2,0.11375308666181569,0.7,0.8269030367773867,0.0,0.5
9,NmfL2Estimator,50,{},0,2,0.13345709040020903,0.8,0.8967519976438942,0.0,0.5
10,NmfHyperEstimator,50,{},0,2,0.1299218642626461,0.81875,0.8981406988601012,0.0,0.5
11,NmfL1Estimator,50,{},0,2,0.3001482070756139,0.3,0.5550348515518883,0.0,0.5
12,ModifiedNMF,50,{},0,3,0.11515673448207342,0.65625,0.7980501315764067,0.0,0.5
13,NmfL2Estimator,50,{},0,3,0.1348909335686938,0.75,0.8608369993286298,0.0,0.5
14,NmfHyperEstimator,50,{},0,3,0.12436377379518661,0.775,0.8807922470334888,0.0,0.5
15,NmfL1Estimator,50,{},0,3,0.3034497318437605,0.30625,0.527797609500416,0.0,0.5
16,ModifiedNMF,50,{},0,4,0.11404239122641921,0.6375,0.7835683394440238,0.0,0.5
17,NmfL2Estimator,50,{},0,4,0.13516435542533678,0.7125,0.8341769682353914,0.0,0.5
18,NmfHyperEstimator,50,{},0,4,0.13709371268764828,0.75625,0.8622375967080947,0.0,0.5
19,NmfL1Estimator,50,{},0,4,0.30035465355406704,0.3,0.5302149486362097,0.0,0.5
