,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
54,NmfHyperEstimator,50,{},2,3,0.11370953556320017,0.75625,0.8633621247525419,0.0,10.0
55,NmfL1Estimator,50,{},2,3,0.26708205282956876,0.31875,0.5556273975276835,0.0,10.0
56,ModifiedNMF,50,{},2,4,0.11098115846018963,0.65625,0.7979726188075198,0.0,10.0
57,NmfL2Estimator,50,{},2,4,0.12970794221042478,0.76875,0.8810878648151985,0.0,10.0
58,NmfHyperEstimator,50,{},2,4,0.1134274017885495,0.75625,0.8666053236823195,0.0,10.0
59,NmfL1Estimator,50,{},2,4,0.2639246948154646,0.30625,0.526657615819576,0.0,10.0
60,ModifiedNMF,50,{},3,0,0.10756885771763368,0.65,0.7912203127055321,0.0,15.0
61,NmfL2Estimator,50,{},3,0,0.12640036848587993,0.7375,0.8441604183483364,0.0,15.0
62,NmfHyperEstimator,50,{},3,0,0.1159401640166553,0.7625,0.8687353482043518,0.0,15.0
63,NmfL1Estimator,50,{},3,0,0.23491791146194257,0.3125,0.5539555322831435,0.0,15.0
64,ModifiedNMF,50,{},3,1,0.10839817447025495,0.675,0.814777804925196,0.0,15.0
65,NmfL2Estimator,50,{},3,1,0.127547228746266,0.75,0.8597567483644484,0.0,15.0
66,NmfHyperEstimator,50,{},3,1,0.11399443609666954,0.76875,0.8783114577098897,0.0,15.0
67,NmfL1Estimator,50,{},3,1,0.23713826928685852,0.28125,0.5385015694990145,0.0,15.0
68,ModifiedNMF,50,{},3,2,0.1085861409848558,0.65625,0.8112447876236323,0.0,15.0
69,NmfL2Estimator,50,{},3,2,0.12660156713201834,0.75625,0.8797538085376191,0.0,15.0
70,NmfHyperEstimator,50,{},3,2,0.11326109995542383,0.75,0.8807497089240195,0.0,15.0
71,NmfL1Estimator,50,{},3,2,0.239427161091616,0.28125,0.5345385299764407,0.0,15.0
72,ModifiedNMF,50,{},3,3,0.10918768071721197,0.66875,0.8168812174680454,0.0,15.0
73,NmfL2Estimator,50,{},3,3,0.1269148430071337,0.7,0.8376721524762532,0.0,15.0
74,NmfHyperEstimator,50,{},3,3,0.11633556815351763,0.725,0.8511242470150295,0.0,15.0
75,NmfL1Estimator,50,{},3,3,0.2395113508658926,0.2875,0.5490210638624249,0.0,15.0
76,ModifiedNMF,50,{},3,4,0.10833111219555956,0.6875,0.8380771526871382,0.0,15.0
77,NmfL2Estimator,50,{},3,4,0.12605694706625484,0.725,0.8620838820359019,0.0,15.0
78,NmfHyperEstimator,50,{},3,4,0.13224480576493114,0.76875,0.8794643549913306,0.0,15.0
79,NmfL1Estimator,50,{},3,4,0.2380209739643119,0.29375,0.5316938015388999,0.0,15.0
80,ModifiedNMF,50,{},4,0,0.11659845972499358,0.66875,0.8079549520398834,0.0,20.0
81,NmfL2Estimator,50,{},4,0,0.13458697522491164,0.7625,0.865159377727503,0.0,20.0
82,NmfHyperEstimator,50,{},4,0,0.1354888641286845,0.775,0.8795925133039144,0.0,20.0
83,NmfL1Estimator,50,{},4,0,0.2316063536354529,0.3125,0.5498771414334064,0.0,20.0
84,ModifiedNMF,50,{},4,1,0.1175206646408391,0.61875,0.7774300359168579,0.0,20.0
85,NmfL2Estimator,50,{},4,1,0.13510463567381195,0.7625,0.865940851074129,0.0,20.0
86,NmfHyperEstimator,50,{},4,1,0.13192465494613742,0.7625,0.8642377195083841,0.0,20.0
87,NmfL1Estimator,50,{},4,1,0.23295571101406137,0.31875,0.5669873139024907,0.0,20.0
88,ModifiedNMF,50,{},4,2,0.11759560807939086,0.70625,0.8390493381789462,0.0,20.0
89,NmfL2Estimator,50,{},4,2,0.13496585749775872,0.7625,0.8828227859924315,0.0,20.0
90,NmfHyperEstimator,50,{},4,2,0.13846901906926276,0.7,0.8452822606715971,0.0,20.0
91,NmfL1Estimator,50,{},4,2,0.23555788310596867,0.2875,0.5314774754796915,0.0,20.0
92,ModifiedNMF,50,{},4,3,0.11813859204773579,0.63125,0.7848576312129475,0.0,20.0
93,NmfL2Estimator,50,{},4,3,0.13475495239899354,0.6875,0.8345300651616767,0.0,20.0
94,NmfHyperEstimator,50,{},4,3,0.12775783731425785,0.70625,0.8366206606478797,0.0,20.0
95,NmfL1Estimator,50,{},4,3,0.23541183308828462,0.29375,0.5410648882480076,0.0,20.0
96,ModifiedNMF,50,{},4,4,0.11729487044660675,0.6125,0.7808688061766248,0.0,20.0
97,NmfL2Estimator,50,{},4,4,0.13459254264603504,0.7625,0.8732941329050585,0.0,20.0
98,NmfHyperEstimator,50,{},4,4,0.1291992102540679,0.725,0.8500365863007737,0.0,20.0
99,NmfL1Estimator,50,{},4,4,0.23411356260195437,0.3125,0.5333259785647846,0.0,20.0
