alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.12982007317841507,0.6172222222222221,0.7545550435671526,0.0,0.5,0.0006025972841599587,0.03820833080899867,0.028229147877847888
ModifiedNMF,50,1,0.32118081606557236,0.6255555555555555,0.778164745620583,0.1,0.5,0.0007175595780001233,0.019484086574166913,0.025953115863633042
ModifiedNMF,50,2,0.40745312965442376,0.5511111111111111,0.7108283146551937,0.2,0.5,0.0008310157562974268,0.0118829164645597,0.015168644845648227
ModifiedNMF,50,3,0.4628465076471123,0.4027777777777778,0.5777358126673118,0.30000000000000004,0.5,0.0007102180585261697,0.006514466333088094,0.014961316546949566
ModifiedNMF,50,4,0.5040138249685984,0.3405555555555556,0.51816746602065,0.4,0.5,0.0006324208225810051,0.013117465503463975,0.011422211681337705
ModifiedNMF,50,5,0.5358754122964571,0.2727777777777778,0.45549662212476594,0.5,0.5,0.0005758913443014953,0.012638125740085921,0.016816705500034716
ModifiedNMF,50,6,0.5617617210786667,0.23500000000000001,0.41574409656983297,0.6000000000000001,0.5,0.0006871196557536123,0.022012903062398836,0.018891029860974847
NmfHyperEstimator,50,0,0.13777087880784172,0.7616666666666666,0.8719269477453307,0.0,0.5,0.005991223115594751,0.011686491093312594,0.00999654146993634
NmfHyperEstimator,50,1,0.3236812973571311,0.6833333333333332,0.8213289051294262,0.1,0.5,0.004037702158466755,0.022047927592204888,0.019284132925631484
NmfHyperEstimator,50,2,0.40206694484483174,0.6088888888888889,0.745806743853026,0.2,0.5,0.0007187237379729337,0.018778270867950652,0.010070720330403871
NmfHyperEstimator,50,3,0.45615561183644215,0.4522222222222222,0.6203176164206268,0.30000000000000004,0.5,0.0007182955128022068,0.01046746871189821,0.010389077894985665
NmfHyperEstimator,50,4,0.4977415739001785,0.34833333333333333,0.528047253561936,0.4,0.5,0.0015898463712443508,0.014777151198078197,0.0045987872588175395
NmfHyperEstimator,50,5,0.5262001892313906,0.28444444444444444,0.4760833369912959,0.5,0.5,0.0005415292279982334,0.009337631285539771,0.01947242998023635
NmfHyperEstimator,50,6,0.5514272951560031,0.2622222222222222,0.4410004380029807,0.6000000000000001,0.5,0.0006283784021059025,0.012668615834434882,0.012345246649182774
NmfL1Estimator,50,0,0.30442317455121715,0.2011111111111111,0.3746087399757478,0.0,0.5,0.0010792423514002995,0.012515422584520897,0.01777203507389881
NmfL1Estimator,50,1,0.4166070788287429,0.19499999999999998,0.37957749073224456,0.1,0.5,0.001097506688358086,0.009899183156225263,0.00783954766883697
NmfL1Estimator,50,2,0.48810333609467593,0.19444444444444448,0.3809933675775453,0.2,0.5,0.0010923149309047143,0.015214515486254625,0.018463936562738772
NmfL1Estimator,50,3,0.5383453698699151,0.19444444444444448,0.3738513178115707,0.30000000000000004,0.5,0.0008599893303423482,0.009419902754340653,0.003913882252335343
NmfL1Estimator,50,4,0.5780531414788086,0.18222222222222223,0.35390165868610624,0.4,0.5,0.0008978466960112259,0.013408353762385744,0.01470196830423618
NmfL1Estimator,50,5,0.6101236573340815,0.19277777777777777,0.3601393664446929,0.5,0.5,0.0007632767210781139,0.006972166887783961,0.01126076550972045
NmfL1Estimator,50,6,0.6369462834933748,0.19055555555555553,0.36885196812938476,0.6000000000000001,0.5,0.0006632192295702717,0.006394924685122965,0.01861361226284805
NmfL2Estimator,50,0,0.14730177751131146,0.7455555555555555,0.8569961159753859,0.0,0.5,0.000482480916897233,0.023943735488344345,0.016502709864900832
NmfL2Estimator,50,1,0.33131964601584785,0.6672222222222222,0.7971355773503779,0.1,0.5,0.0005685154267510618,0.012171612389003715,0.011526832348884106
NmfL2Estimator,50,2,0.41659849319023684,0.5405555555555555,0.6971877514764131,0.2,0.5,0.0009802116139288567,0.01050426133399392,0.011929137716350057
NmfL2Estimator,50,3,0.4712017466122296,0.3905555555555555,0.5665814405623273,0.30000000000000004,0.5,0.0006553833819030468,0.023372982186625136,0.01642955102566306
NmfL2Estimator,50,4,0.5122828210350087,0.3183333333333333,0.5066610028337277,0.4,0.5,0.0005851178242165114,0.013551456575167197,0.00861111701057741
NmfL2Estimator,50,5,0.543737947736579,0.2566666666666667,0.444655353308735,0.5,0.5,0.00065073117276636,0.02923932748209058,0.031999229513094654
NmfL2Estimator,50,6,0.5694614417078327,0.2322222222222222,0.41309838872912746,0.6000000000000001,0.5,0.0005776432272630751,0.012819978621349253,0.009574314821310492
