alg,n_components,noise_id,rre,acc_score,nmi_score,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.12960078816952758,0.5935185185185184,0.7453180215021805,0.0,0.5,0.00028595263392194566,0.01849535588466506,0.02125203968917045
ModifiedNMF,50,1,0.3204575950153674,0.6287037037037037,0.7754963445037065,0.10000000000000002,0.5,0.0004679481386473679,0.018907942459872304,0.006006035281966938
ModifiedNMF,50,2,0.4075763839044424,0.5398148148148149,0.7021774316679888,0.20000000000000004,0.5,0.0004437877452130496,0.04650877168471984,0.02351622543802813
ModifiedNMF,50,3,0.4630125321055066,0.4185185185185185,0.5891811007710847,0.30000000000000004,0.5,0.00032366297180945805,0.022280017436140675,0.01653036561730751
ModifiedNMF,50,4,0.5036989940067113,0.32407407407407407,0.5036403530790196,0.4000000000000001,0.5,0.00019459350726393305,0.017641258225238567,0.007685592597307673
ModifiedNMF,50,5,0.5352776299485764,0.27314814814814814,0.45482583987654923,0.5,0.5,0.0002870343148982842,0.004243125643477645,0.008441611182296431
ModifiedNMF,50,6,0.5617860181493946,0.23518518518518516,0.4087660704715126,0.6000000000000001,0.5,0.00017370405845365013,0.01849535588466497,0.03048760467642242
NmfHyperEstimator,50,0,0.14136199536257263,0.7435185185185186,0.8669540541053382,0.0,0.5,0.0035122365774897185,0.017858612520357257,0.010354439355464146
NmfHyperEstimator,50,1,0.3220809868267891,0.6777777777777777,0.8121434808778031,0.10000000000000002,0.5,0.002576661724325037,0.0481926432580485,0.024915637836531366
NmfHyperEstimator,50,2,0.4027024141628485,0.5731481481481482,0.7224611177142962,0.20000000000000004,0.5,8.416196037505465e-05,0.022280017436140637,0.01650826310909783
NmfHyperEstimator,50,3,0.4562106035621893,0.46388888888888885,0.638861520921629,0.30000000000000004,0.5,0.0001470786468822171,0.020030840419244394,0.010420146627091112
NmfHyperEstimator,50,4,0.4964844796514652,0.3462962962962963,0.5268191959309297,0.4000000000000001,0.5,0.0020427763452390054,0.026979263489506435,0.010936812470388175
NmfHyperEstimator,50,5,0.525601457754433,0.3046296296296296,0.4838645178213685,0.5,0.5,0.0005606497974107471,0.028912027770362947,0.0366675048282166
NmfHyperEstimator,50,6,0.5512811249152407,0.25277777777777777,0.43230610713669865,0.6000000000000001,0.5,8.897849554535287e-05,0.013888888888888888,0.022074454672754613
NmfL1Estimator,50,0,0.30466061776589165,0.19722222222222222,0.3845663257672263,0.0,0.5,0.0007793228776261996,0.0027777777777777853,0.004926097816336977
NmfL1Estimator,50,1,0.41635959143487483,0.1898148148148148,0.3798322151812911,0.10000000000000002,0.5,0.0007678264636432863,0.004243125643477626,0.009729239380102683
NmfL1Estimator,50,2,0.4881677988612911,0.19537037037037033,0.36808872164398343,0.20000000000000004,0.5,0.0005937171066834324,0.010516496936667194,0.007902282514701684
NmfL1Estimator,50,3,0.5387508359736843,0.19259259259259257,0.3758733913279027,0.30000000000000004,0.5,0.0005907505232336293,0.006415002990995851,0.01800765244143527
NmfL1Estimator,50,4,0.5779218478140671,0.19259259259259257,0.3657607549577529,0.4000000000000001,0.5,0.0006234738982157422,0.011226255234242716,0.020633045579158377
NmfL1Estimator,50,5,0.6095632856451542,0.19444444444444442,0.37054871859417676,0.5,0.5,0.0005106998626484698,0.005555555555555564,0.01302059088813782
NmfL1Estimator,50,6,0.6372690407922074,0.19722222222222222,0.3788629054043311,0.6000000000000001,0.5,0.0005771859608098986,0.015466012118972286,0.016251178794557484
NmfL2Estimator,50,0,0.14694380139868018,0.7638888888888888,0.8704185520393116,0.0,0.5,0.00025172107579580897,0.0073493091974017296,0.0050363880927030875
NmfL2Estimator,50,1,0.330778698644789,0.6675925925925927,0.8018537262025971,0.10000000000000002,0.5,0.00024402315825642753,0.017858612520357336,0.007333098352526958
NmfL2Estimator,50,2,0.4164810862033068,0.5027777777777778,0.6678667294689306,0.20000000000000004,0.5,0.00048676457703113586,0.04034955290648316,0.01609791840179892
NmfL2Estimator,50,3,0.4716306622742441,0.3925925925925926,0.5734319745563812,0.30000000000000004,0.5,0.0002848983763158864,0.02970187950434341,0.026230597998750344
NmfL2Estimator,50,4,0.5119169525918313,0.29907407407407405,0.4905114866860771,0.4000000000000001,0.5,0.00029264942850654575,0.008929306260178703,0.004045497661909975
NmfL2Estimator,50,5,0.5431517540079281,0.2537037037037037,0.44410184835111793,0.5,0.5,0.00030711510002836835,0.008929306260178661,0.016155772900529337
NmfL2Estimator,50,6,0.56951586405969,0.24444444444444444,0.4305134652181822,0.6000000000000001,0.5,0.00027690696466217007,0.0111111111111111,0.008549622456249361
