alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.16668178775358405,0.22315837937384903,0.29698809889846445,0.0,0.5,0.0005566910857511941,0.01507126745259577,0.019220253766912863
ModifiedNMF,50,1,0.4553171461734552,0.2063075506445672,0.2728013135599971,0.09999999999999999,0.5,0.000990017048377751,0.012536497911230548,0.02120762317819542
ModifiedNMF,50,2,0.555564389515985,0.20580110497237566,0.2819444407422236,0.19999999999999998,0.5,0.0009788251939210815,0.0146174105583679,0.01456905924630657
ModifiedNMF,50,3,0.6101114815579507,0.1837476979742173,0.2408323912519937,0.3,0.5,0.0009369028643062415,0.0040976346324832534,0.008684958748837882
ModifiedNMF,50,4,0.6443855110179032,0.15999079189686927,0.20215114861277916,0.39999999999999997,0.5,0.0008006010969542458,0.009675204984954323,0.008625014559672578
ModifiedNMF,50,5,0.6688390767135107,0.13816758747697974,0.16756630927134636,0.5,0.5,0.000668465139835957,0.008521158493138432,0.010433400703322774
ModifiedNMF,50,6,0.6873253502867769,0.12490791896869244,0.14424410265160342,0.6,0.5,0.0006300010524426301,0.00494944465778212,0.007412844946455528
NmfHyperEstimator,50,0,0.36378857112831214,0.14779005524861877,0.1893267311820576,0.0,0.5,0.16711628147033944,0.04660387883175827,0.06659712467177376
NmfHyperEstimator,50,1,0.4580780918891606,0.18273480662983427,0.2383053138032388,0.09999999999999999,0.5,0.00475040637190318,0.012255293813456433,0.019461392593079368
NmfHyperEstimator,50,2,0.5545483957451315,0.17131675874769797,0.2288928119602019,0.19999999999999998,0.5,0.0016334688336129852,0.012149133568507726,0.020082062415970253
NmfHyperEstimator,50,3,0.6067468297547863,0.1578268876611418,0.20981402516389952,0.3,0.5,0.0014818872098057607,0.007448515008429023,0.013122144780820189
NmfHyperEstimator,50,4,0.6388429902117653,0.1520718232044199,0.1927167590947383,0.39999999999999997,0.5,0.000803684661140117,0.0039009357277226806,0.008755403584702552
NmfHyperEstimator,50,5,0.663195334958684,0.13121546961325967,0.1579119621391348,0.5,0.5,0.0006640118850026146,0.004318983204257303,0.009905636196765037
NmfHyperEstimator,50,6,0.6818163395904755,0.12094843462246778,0.14197358812245858,0.6,0.5,0.0006518480477760512,0.0059519226694994464,0.008992014121192857
NmfL1Estimator,50,0,0.3267754009554433,0.08549723756906077,0.08670058795212868,0.0,0.5,0.0024234844431212333,0.002920338451601289,0.006263917106685974
NmfL1Estimator,50,1,0.5233554631932418,0.08586556169429096,0.08569494128133229,0.09999999999999999,0.5,0.0018602704059006896,0.0034742883433615027,0.005775354999342485
NmfL1Estimator,50,2,0.6125162634799632,0.0867403314917127,0.08975258829441474,0.19999999999999998,0.5,0.0011544142204355917,0.002049822941321549,0.0036109355572805754
NmfL1Estimator,50,3,0.6661973602575688,0.08697053406998158,0.08840384603494074,0.3,0.5,0.0013054335385071791,0.0016450493794796367,0.005807863664889979
NmfL1Estimator,50,4,0.7040402861001752,0.08568139963167587,0.08990164671622962,0.39999999999999997,0.5,0.001081277482187444,0.0020641355222338763,0.004177920966850212
NmfL1Estimator,50,5,0.7327580163971976,0.08531307550644567,0.08925533997409127,0.5,0.5,0.0010039634534834804,0.0030233661457138745,0.00558711063105511
NmfL1Estimator,50,6,0.7561042015108541,0.08692449355432783,0.08813317999536592,0.6,0.5,0.0010800087478926084,0.0034712364082558457,0.006527433509525884
NmfL2Estimator,50,0,0.18184384764939227,0.24838858195211788,0.32860355493718973,0.0,0.5,0.000850983822729525,0.008872676193715333,0.012831042420498645
NmfL2Estimator,50,1,0.46085935942304335,0.22486187845303865,0.3092444015513517,0.09999999999999999,0.5,0.0009240650865726892,0.008514937205352834,0.013868930517221267
NmfL2Estimator,50,2,0.5600128718535294,0.19691528545119705,0.2687702338998009,0.19999999999999998,0.5,0.0009764049036001477,0.009795683999493265,0.010280887716285545
NmfL2Estimator,50,3,0.6141568081695025,0.16790976058931859,0.21925463373576135,0.3,0.5,0.0009135832872295204,0.007063047947574091,0.009472536331361026
NmfL2Estimator,50,4,0.6483396586889429,0.14677716390423573,0.18302730401806885,0.39999999999999997,0.5,0.0008181088152847718,0.004759004897069199,0.007378821981553339
NmfL2Estimator,50,5,0.6726882419878635,0.12550644567219155,0.1446663672413135,0.5,0.5,0.0006846563661564444,0.003349691419461824,0.0067988605856332445
NmfL2Estimator,50,6,0.6910985806892361,0.11372007366482503,0.12781512116973232,0.6,0.5,0.0007070514517624708,0.006053739387144271,0.010839781696437142
