,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
0,ModifiedNMF,50,{},0,0,0.16578907269243479,0.22099447513812154,0.28612854464602067,0.0,0.0
1,NmfL2Estimator,50,{},0,0,0.18231861200792948,0.2596685082872928,0.3328187861534413,0.0,0.0
2,NmfHyperEstimator,50,{},0,0,0.16774321367478479,0.21224677716390425,0.2887690889088186,0.0,0.0
3,NmfL1Estimator,50,{},0,0,0.3302516168946421,0.08057090239410682,0.08363013512400612,0.0,0.0
4,ModifiedNMF,50,{},0,1,0.16629485097976823,0.21132596685082872,0.2806601048213993,0.0,0.0
5,NmfL2Estimator,50,{},0,1,0.18126400985633312,0.23480662983425415,0.3207763655042432,0.0,0.0
6,NmfHyperEstimator,50,{},0,1,0.17695400574610548,0.20119705340699817,0.2767878992185433,0.0,0.0
7,NmfL1Estimator,50,{},0,1,0.3299085668704732,0.08793738489871086,0.09600621051645174,0.0,0.0
8,ModifiedNMF,50,{},0,2,0.16671427905499853,0.1910681399631676,0.25510501348850945,0.0,0.0
9,NmfL2Estimator,50,{},0,2,0.181202351500516,0.2546040515653775,0.31948135433339697,0.0,0.0
10,NmfHyperEstimator,50,{},0,2,0.1678748521682927,0.20027624309392264,0.26381798477009777,0.0,0.0
11,NmfL1Estimator,50,{},0,2,0.32885570292284116,0.08839779005524862,0.08980528828004561,0.0,0.0
12,ModifiedNMF,50,{},0,3,0.1661049505402004,0.19429097605893186,0.2645892045703229,0.0,0.0
13,NmfL2Estimator,50,{},0,3,0.18116142107054967,0.24125230202578268,0.31335155644646634,0.0,0.0
14,NmfHyperEstimator,50,{},0,3,0.49291118600662764,0.11602209944751381,0.14386244310329063,0.0,0.0
15,NmfL1Estimator,50,{},0,3,0.32130691734673067,0.08333333333333333,0.08989851028949065,0.0,0.0
16,ModifiedNMF,50,{},0,4,0.16582189867605743,0.23204419889502761,0.3057069516323674,0.0,0.0
17,NmfL2Estimator,50,{},0,4,0.1819617589480733,0.2656537753222836,0.3385890241768591,0.0,0.0
18,NmfHyperEstimator,50,{},0,4,0.1956486006338071,0.1662062615101289,0.21792616379478674,0.0,0.0
19,NmfL1Estimator,50,{},0,4,0.32543960961140217,0.08517495395948435,0.08184820262955515,0.0,0.0
20,ModifiedNMF,50,{},0,5,0.16657899944958438,0.2352670349907919,0.3147196126714845,0.0,0.0
21,NmfL2Estimator,50,{},0,5,0.18214172809315332,0.24769797421731124,0.31685570022641535,0.0,0.0
22,NmfHyperEstimator,50,{},0,5,0.1720435079279434,0.20810313075506445,0.27232946736073205,0.0,0.0
23,NmfL1Estimator,50,{},0,5,0.32573264352771036,0.08287292817679558,0.07788861161101551,0.0,0.0
24,ModifiedNMF,50,{},0,6,0.16633396270643433,0.2223756906077348,0.30256400560058144,0.0,0.0
25,NmfL2Estimator,50,{},0,6,0.18145884163525428,0.24079189686924493,0.33714900647839585,0.0,0.0
26,NmfHyperEstimator,50,{},0,6,0.4926770990575157,0.1210865561694291,0.1428649778673037,0.0,0.0
27,NmfL1Estimator,50,{},0,6,0.3232392361378608,0.08747697974217311,0.08982986436261682,0.0,0.0
28,ModifiedNMF,50,{},0,7,0.1669207417809119,0.21132596685082872,0.3259840674384441,0.0,0.0
29,NmfL2Estimator,50,{},0,7,0.1813809777733214,0.24861878453038674,0.31472943612784876,0.0,0.0
30,NmfHyperEstimator,50,{},0,7,0.4932607289384861,0.11832412523020258,0.15031490247157855,0.0,0.0
31,NmfL1Estimator,50,{},0,7,0.32443352479898896,0.08977900552486189,0.09480746665523612,0.0,0.0
32,ModifiedNMF,50,{},0,8,0.16624285930711458,0.2085635359116022,0.27017335529004766,0.0,0.0
33,NmfL2Estimator,50,{},0,8,0.182527516402286,0.2223756906077348,0.30746867649364873,0.0,0.0
34,NmfHyperEstimator,50,{},0,8,0.1746052681078208,0.18001841620626152,0.24732148001601814,0.0,0.0
35,NmfL1Estimator,50,{},0,8,0.32664941876346215,0.08747697974217311,0.09664077524848609,0.0,0.0
36,ModifiedNMF,50,{},0,9,0.16636750591613209,0.19429097605893186,0.26439004198487437,0.0,0.0
37,NmfL2Estimator,50,{},0,9,0.18302173909902156,0.23987108655616943,0.3136074707378574,0.0,0.0
38,NmfHyperEstimator,50,{},0,9,0.4917436655514749,0.12338858195211787,0.15141979901403108,0.0,0.0
39,NmfL1Estimator,50,{},0,9,0.326610237746918,0.08287292817679558,0.08512290917483266,0.0,0.0
40,ModifiedNMF,50,{},1,0,0.14086044607861614,0.2541436464088398,0.3279878084997267,0.0,5.0
41,NmfL2Estimator,50,{},1,0,0.1572912644209813,0.23802946593001842,0.3333217156827042,0.0,5.0
42,NmfHyperEstimator,50,{},1,0,0.1541945010083294,0.2094843462246777,0.2853690102601805,0.0,5.0
43,NmfL1Estimator,50,{},1,0,0.2973153764755717,0.08793738489871086,0.09384762792012194,0.0,5.0
44,ModifiedNMF,50,{},1,1,0.14162039562883302,0.22421731123388583,0.28108745263613705,0.0,5.0
45,NmfL2Estimator,50,{},1,1,0.15838832707667905,0.2265193370165746,0.29922191638355716,0.0,5.0
46,NmfHyperEstimator,50,{},1,1,0.16480985920316202,0.19475138121546962,0.24458584158377267,0.0,5.0
47,NmfL1Estimator,50,{},1,1,0.29385248384071183,0.0847145488029466,0.09210804322901221,0.0,5.0
48,ModifiedNMF,50,{},1,2,0.14135839141950435,0.2283609576427256,0.30083620140886846,0.0,5.0
49,NmfL2Estimator,50,{},1,2,0.1566349698130331,0.23895027624309392,0.32611831670028135,0.0,5.0
50,NmfHyperEstimator,50,{},1,2,0.16979020098373077,0.17357274401473297,0.2330437257068941,0.0,5.0
51,NmfL1Estimator,50,{},1,2,0.2940259326577273,0.0856353591160221,0.0904782256161266,0.0,5.0
52,ModifiedNMF,50,{},1,3,0.1409293239204663,0.20257826887661143,0.29133192076850106,0.0,5.0
53,NmfL2Estimator,50,{},1,3,0.15696909318710167,0.22053406998158379,0.3171800376286333,0.0,5.0
54,NmfHyperEstimator,50,{},1,3,0.14891917565195897,0.2104051565377532,0.2735373747065054,0.0,5.0
55,NmfL1Estimator,50,{},1,3,0.2961979648113202,0.08333333333333333,0.09448150422309694,0.0,5.0
56,ModifiedNMF,50,{},1,4,0.14136283963950497,0.24125230202578268,0.33492662506414306,0.0,5.0
57,NmfL2Estimator,50,{},1,4,0.1567088137326105,0.24585635359116023,0.34656012287446175,0.0,5.0
58,NmfHyperEstimator,50,{},1,4,0.1522919061301315,0.1938305709023941,0.2718568839297776,0.0,5.0
59,NmfL1Estimator,50,{},1,4,0.29555609217364415,0.08241252302025782,0.09305695745849951,0.0,5.0
60,ModifiedNMF,50,{},1,5,0.14172916620741238,0.2311233885819521,0.33210426144811567,0.0,5.0
61,NmfL2Estimator,50,{},1,5,0.15635056543091047,0.23296500920810312,0.2923575577359532,0.0,5.0
62,NmfHyperEstimator,50,{},1,5,0.16166271948203687,0.2085635359116022,0.28148073007952973,0.0,5.0
63,NmfL1Estimator,50,{},1,5,0.29357589478615415,0.08885819521178637,0.09027252432001018,0.0,5.0
64,ModifiedNMF,50,{},1,6,0.14093950238960595,0.22007366482504603,0.3096944530122797,0.0,5.0
65,NmfL2Estimator,50,{},1,6,0.1567338023760648,0.2311233885819521,0.3150916707063715,0.0,5.0
66,NmfHyperEstimator,50,{},1,6,0.15348017299356448,0.20395948434622468,0.29259788642325624,0.0,5.0
67,NmfL1Estimator,50,{},1,6,0.2937577899369727,0.08747697974217311,0.08505117158409542,0.0,5.0
68,ModifiedNMF,50,{},1,7,0.14127696472556595,0.21777163904235727,0.30387250383829323,0.0,5.0
69,NmfL2Estimator,50,{},1,7,0.15765789418112408,0.2265193370165746,0.3280602736108166,0.0,5.0
70,NmfHyperEstimator,50,{},1,7,0.16456896058574036,0.18278084714548803,0.2632629579824294,0.0,5.0
71,NmfL1Estimator,50,{},1,7,0.29131684882371944,0.08609576427255985,0.09453058336874892,0.0,5.0
72,ModifiedNMF,50,{},1,8,0.14122138812408555,0.22099447513812154,0.2883533035554144,0.0,5.0
73,NmfL2Estimator,50,{},1,8,0.15639722949547127,0.23710865561694291,0.3218805320566553,0.0,5.0
74,NmfHyperEstimator,50,{},1,8,0.16793504206616386,0.18093922651933703,0.25943660208602104,0.0,5.0
75,NmfL1Estimator,50,{},1,8,0.29682643725608154,0.0865561694290976,0.08639859040096802,0.0,5.0
76,ModifiedNMF,50,{},1,9,0.14123908809940933,0.21869244935543278,0.30163095003955687,0.0,5.0
77,NmfL2Estimator,50,{},1,9,0.15777467059897893,0.21685082872928177,0.2889796709341005,0.0,5.0
78,NmfHyperEstimator,50,{},1,9,0.16862398995502423,0.18968692449355432,0.23813663947422642,0.0,5.0
79,NmfL1Estimator,50,{},1,9,0.29370528023641745,0.0847145488029466,0.09020425644158969,0.0,5.0
80,ModifiedNMF,50,{},2,0,0.13318854611401043,0.23480662983425415,0.3079696911314999,0.0,10.0
81,NmfL2Estimator,50,{},2,0,0.14926052359332748,0.2292817679558011,0.30364846005836743,0.0,10.0
82,NmfHyperEstimator,50,{},2,0,0.17098344137213306,0.16114180478821363,0.186897564498621,0.0,10.0
83,NmfL1Estimator,50,{},2,0,0.27387301106133755,0.08287292817679558,0.08068664372114574,0.0,10.0
84,ModifiedNMF,50,{},2,1,0.13344168375846113,0.24631675874769798,0.31758560872228075,0.0,10.0
85,NmfL2Estimator,50,{},2,1,0.1482130627552847,0.212707182320442,0.2999581930250818,0.0,10.0
86,NmfHyperEstimator,50,{},2,1,0.1705133964687884,0.1574585635359116,0.20917578209828927,0.0,10.0
87,NmfL1Estimator,50,{},2,1,0.27737016758207195,0.08333333333333333,0.08802790481766289,0.0,10.0
88,ModifiedNMF,50,{},2,2,0.13343854499225197,0.22559852670349909,0.3075265532513069,0.0,10.0
89,NmfL2Estimator,50,{},2,2,0.14844174845902844,0.2085635359116022,0.30501686457927935,0.0,10.0
90,NmfHyperEstimator,50,{},2,2,0.16957909039407218,0.1662062615101289,0.20640339099430502,0.0,10.0
91,NmfL1Estimator,50,{},2,2,0.27468043513609736,0.07918968692449356,0.07786547937916728,0.0,10.0
92,ModifiedNMF,50,{},2,3,0.1330782969021624,0.23204419889502761,0.3204931626246876,0.0,10.0
93,NmfL2Estimator,50,{},2,3,0.14822565561413492,0.21408839779005526,0.2935583443937203,0.0,10.0
94,NmfHyperEstimator,50,{},2,3,0.16575114264500995,0.16298342541436464,0.22158191124900056,0.0,10.0
95,NmfL1Estimator,50,{},2,3,0.273941426769293,0.07918968692449356,0.07858217909464499,0.0,10.0
96,ModifiedNMF,50,{},2,4,0.13335486511467706,0.251841620626151,0.3243606406398147,0.0,10.0
97,NmfL2Estimator,50,{},2,4,0.14829845425425917,0.2104051565377532,0.30312781393167604,0.0,10.0
98,NmfHyperEstimator,50,{},2,4,0.16664133272295828,0.1721915285451197,0.21631456481873418,0.0,10.0
99,NmfL1Estimator,50,{},2,4,0.27731172253851694,0.08103130755064457,0.08677161949051218,0.0,10.0
