alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.16631691211036367,0.2121546961325967,0.2870020902144052,0.0,0.0,0.0003603396482259711,0.01566851338606925,0.02411812712010136
ModifiedNMF,50,1,0.1412537506233004,0.2259208103130755,0.3071825480271036,0.0,5.0,0.0002874781084714101,0.014100813562158818,0.018852597003360075
ModifiedNMF,50,2,0.1334473157568316,0.23775322283609576,0.3149439713762981,0.0,10.0,0.0002489341402145429,0.012200881428887197,0.015101293996872024
ModifiedNMF,50,3,0.12976455583243734,0.23651012891344383,0.3202216849595227,0.0,15.0,0.0001188695764210917,0.013098056939765233,0.014031262067981215
ModifiedNMF,50,4,0.13726012979061664,0.2208563535911602,0.3059833041332289,0.0,20.0,0.00013937009865437833,0.009929416402656007,0.014500119158291958
ModifiedNMF,50,5,0.1441182040450713,0.22168508287292815,0.2944076094577294,0.0,25.0,0.0001022025584730656,0.015652646837596117,0.022426795874851926
ModifiedNMF,50,6,0.14541593766173383,0.2098066298342541,0.2839286983490281,0.0,30.0,8.944419256179812e-05,0.019085754417001194,0.0284300062570835
ModifiedNMF,50,7,0.14662894151960204,0.21279926335174953,0.2753007525301929,0.0,35.0,8.617993889195506e-05,0.011719599970723643,0.015746634195191567
ModifiedNMF,50,8,0.15154162776781493,0.212292817679558,0.2797896436209328,0.0,40.0,7.204174693860383e-05,0.009970603726734814,0.02299372702324035
ModifiedNMF,50,9,0.15153815372361457,0.21298342541436463,0.2798840538439958,0.0,45.0,7.695618425172499e-05,0.01141086726428398,0.017976181896385328
NmfHyperEstimator,50,0,0.3025462127812859,0.16468692449355432,0.21554142065252008,0.0,0.0,0.1637969091220088,0.04097177653777689,0.06188736434837941
NmfHyperEstimator,50,1,0.1606276528059842,0.1947974217311234,0.26433076522325927,0.0,5.0,0.0077059340390565,0.013109560182471251,0.020431809162303603
NmfHyperEstimator,50,2,0.16834166302702003,0.16703499079189685,0.2120754692432533,0.0,10.0,0.003236212054443306,0.011626787574451361,0.017779945522681254
NmfHyperEstimator,50,3,0.14735105220678119,0.18245856353591158,0.2383875601107944,0.0,15.0,0.004814295221330981,0.022088840729274063,0.026788947583419584
NmfHyperEstimator,50,4,0.16435842093641348,0.13641804788213627,0.17418433204820416,0.0,20.0,0.009976571293127918,0.03310939483153597,0.05201957710482686
NmfHyperEstimator,50,5,0.1766123878393046,0.10248618784530386,0.11523425284458713,0.0,25.0,0.005514791472479951,0.020094632580121296,0.03746566552919946
NmfHyperEstimator,50,6,0.1751249208496624,0.0903314917127072,0.08704330927730233,0.0,30.0,0.0014352779421124774,0.006783233196592397,0.007035225895750854
NmfHyperEstimator,50,7,0.16887565147373665,0.0982965009208103,0.10324758323883931,0.0,35.0,0.0029461950345841927,0.012787241536200991,0.02381866906487844
