alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.11519453528919694,0.6354166666666666,0.7946857133785445,0.0,0.5,0.0012058141416692951,0.059402405955763564,0.035360241086825416
ModifiedNMF,50,1,0.2860858196787567,0.64375,0.7876144227125176,0.10000000000000002,0.5,0.0013586229818796434,0.03125,0.02436056500018173
ModifiedNMF,50,2,0.3623980281205941,0.5416666666666666,0.7244935425895348,0.20000000000000004,0.5,0.0018799920315602425,0.04254287053471277,0.029625522660401693
ModifiedNMF,50,3,0.41292703184214946,0.48125,0.6668218603037747,0.30000000000000004,0.5,0.0015337157187538812,0.021650635094610977,0.01251856439465776
ModifiedNMF,50,4,0.4487774969956752,0.3916666666666666,0.5994783047343212,0.4000000000000001,0.5,0.0013949782350103814,0.013010412496663322,0.007531977220126463
ModifiedNMF,50,5,0.47707249829179993,0.38125000000000003,0.5949136025689664,0.5,0.5,0.00145863958025193,0.0165359456941537,0.021996762063277532
NmfHyperEstimator,50,0,0.14037119093802375,0.8145833333333332,0.8984283429677896,0.0,0.5,0.0007280594399183713,0.02366211810750119,0.02048401697556202
NmfHyperEstimator,50,1,0.2828140189819814,0.6708333333333334,0.8097465804659855,0.10000000000000002,0.5,0.0014244878759125483,0.018042195912175797,0.014187421875970324
NmfHyperEstimator,50,2,0.35312895499534075,0.55625,0.7336720822353948,0.20000000000000004,0.5,0.0016890130457360836,0.018749999999999975,0.00777811537756306
NmfHyperEstimator,50,3,0.40048739589715904,0.48125,0.6758811834147199,0.30000000000000004,0.5,0.0013164572781916716,0.04718646522044218,0.023785566963972393
NmfHyperEstimator,50,4,0.43553291334674477,0.39375000000000004,0.6168624490383942,0.4000000000000001,0.5,0.0009782345250297483,0.04881406047441662,0.02677221584682997
NmfHyperEstimator,50,5,0.4615808959123732,0.35625,0.5794831271817102,0.5,0.5,0.0009890941362720404,0.0165359456941537,0.014255687276309124
NmfL1Estimator,50,0,0.3001570587836214,0.3125,0.5445849791347782,0.0,0.5,0.001743679920022639,0.010825317547305485,0.021813180984643417
NmfL1Estimator,50,1,0.4120428476025036,0.3020833333333333,0.5472559251858523,0.10000000000000002,0.5,0.0015097275538780122,0.0036084391824351843,0.007425716261477615
NmfL1Estimator,50,2,0.48323905790246213,0.31666666666666665,0.5550668997584951,0.20000000000000004,0.5,0.001651508440153293,0.009547032697824663,0.015088874201470894
NmfL1Estimator,50,3,0.5336678246726054,0.3,0.534811334376251,0.30000000000000004,0.5,0.0015418488617836743,0.01653594569415369,0.008891711067875025
NmfL1Estimator,50,4,0.5722382564617107,0.3145833333333333,0.5553764721427775,0.4000000000000001,0.5,0.0013571973533148178,0.019094065395649323,0.010388005035327521
NmfL1Estimator,50,5,0.6036359279623853,0.29583333333333334,0.5471520772278499,0.5,0.5,0.0016373230983445215,0.0036084391824351483,0.004776440931091772
NmfL2Estimator,50,0,0.13541723165318453,0.7916666666666666,0.8913621834613749,0.0,0.5,0.0006546077816430707,0.020090939085401972,0.012155826999911364
NmfL2Estimator,50,1,0.30150349267695536,0.6229166666666667,0.7829390420940608,0.10000000000000002,0.5,0.0008731400138969624,0.032072508996543014,0.017152090610845577
NmfL2Estimator,50,2,0.37641635091391284,0.4666666666666666,0.6750378855458684,0.20000000000000004,0.5,0.0009180256411725572,0.00954703269782467,0.020947157847054112
NmfL2Estimator,50,3,0.42562045514036884,0.39166666666666666,0.6193381826264371,0.30000000000000004,0.5,0.0008665209619133912,0.0036084391824351483,0.011243046290001273
NmfL2Estimator,50,4,0.4615268439670759,0.36041666666666666,0.583345413263698,0.4000000000000001,0.5,0.0013543661251571508,0.009547032697824687,0.020965711617698106
NmfL2Estimator,50,5,0.4879650774964248,0.3479166666666667,0.5727021879756246,0.5,0.5,0.001321299675778392,0.009547032697824667,0.011540543112531786
