alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,10,0,0.35386624222400376,0.6499999999999999,0.7971387847798028,0.10000000000000002,0.0,0.00023966171070829002,0.024216105241892653,0.016159959095022113
ModifiedNMF,10,1,0.3599509551096116,0.649074074074074,0.7992511096414354,0.10000000000000002,0.5,0.0003188384720768038,0.03473148024724268,0.019728748176058648
ModifiedNMF,10,2,0.3499060670911358,0.6222222222222222,0.7787732992340924,0.10000000000000002,1.0,0.0004172830082965308,0.012108052620946273,0.0070185547540591
NmfHyperEstimator,10,0,0.3538162880639879,0.675925925925926,0.8203199349832143,0.10000000000000002,0.0,0.0009176127516742982,0.030723444487105633,0.014313747785322501
NmfHyperEstimator,10,1,0.3604373416787157,0.6620370370370371,0.8200486453550155,0.10000000000000002,0.5,0.001389312828497507,0.025051387515682824,0.005567105970684408
NmfHyperEstimator,10,2,0.35017932520750694,0.6592592592592593,0.8040653280543828,0.10000000000000002,1.0,0.0007399397196750519,0.02084875972073646,0.006629273718556244
NmfL1Estimator,10,0,0.42244887345174664,0.22870370370370371,0.4241024536066896,0.10000000000000002,0.0,0.001088958866626702,0.012525693757841374,0.01311989717481604
NmfL1Estimator,10,1,0.41633345540574745,0.21574074074074076,0.4090458196588802,0.10000000000000002,0.5,0.000631086310354788,0.00801875373874481,0.0120173389019675
NmfL1Estimator,10,2,0.405053209345988,0.2175925925925926,0.39710104068228586,0.10000000000000002,1.0,0.0005186576810012377,0.001603750747748953,0.009992367120371158
NmfL2Estimator,10,0,0.35668986905858063,0.6231481481481481,0.7899917888955619,0.10000000000000002,0.0,0.00021229746581439592,0.018495355884664933,0.00569495188987707
NmfL2Estimator,10,1,0.36229924034647704,0.65,0.7998188724448131,0.10000000000000002,0.5,0.00030369082106702396,0.03918537772129414,0.02306794062188533
NmfL2Estimator,10,2,0.352011039478145,0.6462962962962964,0.7959728566276821,0.10000000000000002,1.0,0.0004362800116953944,0.029701879504343408,0.014644811765142013
