alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,mean,sigma,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.11418935105824496,0.68125,0.8281518435871028,0.0,0.0,0.00035771842587718316,0.03903123748998998,0.02682510800596497
ModifiedNMF,50,1,0.11249642392873223,0.6854166666666667,0.8242623219275119,0.0,5.0,0.0005661029403804744,0.019094065395649375,0.01846569788472863
ModifiedNMF,50,2,0.11108315872624219,0.6583333333333333,0.8109080577997179,0.0,10.0,0.00017805180647874347,0.04521361336293899,0.0323793347112836
ModifiedNMF,50,3,0.11258477928565291,0.7062499999999999,0.83371192104436,0.0,15.0,0.00047069004381408486,0.012500000000000039,0.013246269603125607
ModifiedNMF,50,4,0.1174967752567258,0.6687499999999998,0.8064326135920593,0.0,20.0,0.00030926140364368886,0.028641098093473996,0.025527567524471346
ModifiedNMF,50,5,0.11440540445594294,0.6437499999999999,0.7898490624299782,0.0,25.0,0.0001474877446678961,0.02253469547164993,0.01969000333404448
ModifiedNMF,50,6,0.12056458725774065,0.6458333333333334,0.8014766945694008,0.0,30.0,1.95120788577388e-05,0.021949278651776528,0.019366537273206866
ModifiedNMF,50,7,0.13298702784266167,0.6604166666666667,0.8056336921561815,0.0,35.0,0.00042028169734104374,0.025259074277046146,0.02157539142292904
NmfHyperEstimator,50,0,0.12865694492238552,0.7937500000000001,0.8909060406510445,0.0,0.0,0.014826837098280851,0.016535945694153734,0.010298977246500609
NmfHyperEstimator,50,1,0.11701057370889768,0.775,0.8865467430108972,0.0,5.0,0.006341935390313617,0.03749999999999995,0.015260607670258
NmfHyperEstimator,50,2,0.11356257919671943,0.7833333333333332,0.8848423644687151,0.0,10.0,0.00046996630279008597,0.01909406539564935,0.01381215749786123
NmfHyperEstimator,50,3,0.12906159389937102,0.7791666666666667,0.8847117840992785,0.0,15.0,0.0009496320822500083,0.00954703269782461,0.006000554773455469
NmfHyperEstimator,50,4,0.13963311468490924,0.7354166666666667,0.8651157414428625,0.0,20.0,0.010473395337141977,0.04066504436654824,0.023346941962917048
NmfHyperEstimator,50,5,0.1284259462225891,0.7270833333333333,0.8491953399879968,0.0,25.0,0.011009076066220553,0.013010412496663312,0.004863029379089049
NmfHyperEstimator,50,6,0.14106926029517128,0.7020833333333334,0.8367866927495019,0.0,30.0,0.003300715723867863,0.05388548815157312,0.030939719196067538
NmfHyperEstimator,50,7,0.15178442560679825,0.69375,0.8354149399293598,0.0,35.0,0.002818503832944321,0.03749999999999998,0.030482078899230665
NmfL1Estimator,50,0,0.29751818813927433,0.3125,0.5546316908578562,0.0,0.0,0.0017112222009495722,0.021650635094610987,0.013116741632576813
NmfL1Estimator,50,1,0.28533373984521054,0.3104166666666667,0.5527876165670802,0.0,5.0,0.00202193074258269,0.021949278651776566,0.012139745116892147
NmfL1Estimator,50,2,0.2627107841985501,0.3,0.5305464806837836,0.0,10.0,0.001430154943879775,0.012500000000000025,0.012511327712134547
NmfL1Estimator,50,3,0.24352532889139888,0.3020833333333333,0.53798130911462,0.0,15.0,0.0012632304656575587,0.02194927865177653,0.018761692967111818
NmfL1Estimator,50,4,0.23237674611932493,0.3,0.5419108239211956,0.0,20.0,0.001050803411114568,0.0062500000000000125,0.015567218802179875
NmfL1Estimator,50,5,0.2112139795378213,0.2791666666666666,0.5172341236978223,0.0,25.0,0.0009297445595676548,0.01572882174014738,0.009345980173536517
NmfL1Estimator,50,6,0.20893389987138114,0.30624999999999997,0.554660699107742,0.0,30.0,0.0005537969472500728,0.0108253175473055,0.013771167692326171
NmfL1Estimator,50,7,0.21772907214720405,0.30833333333333335,0.5457826146736732,0.0,35.0,0.0007169145535196881,0.013010412496663322,0.0016530570681942333
NmfL2Estimator,50,0,0.13395751885965726,0.7479166666666667,0.8713752393129582,0.0,0.0,5.662826563774572e-05,0.026020824993326665,0.018599075576699806
NmfL2Estimator,50,1,0.13226724523674913,0.75625,0.8761290432541585,0.0,5.0,0.0006261776990167621,0.01653594569415368,0.004929615434486116
NmfL2Estimator,50,2,0.13033326292371844,0.7604166666666666,0.8727100682757049,0.0,10.0,0.0007176200937063386,0.01909406539564938,0.009608089297402032
NmfL2Estimator,50,3,0.13051420919757242,0.7687499999999999,0.8809952023827727,0.0,15.0,0.0002368512794195268,0.027243118397129232,0.022289014801071545
NmfL2Estimator,50,4,0.1350306194512356,0.7645833333333334,0.8758272421113064,0.0,20.0,0.00030819047897476736,0.03207250899654298,0.015838182291792187
NmfL2Estimator,50,5,0.13114433830758884,0.7354166666666666,0.8610312288916377,0.0,25.0,0.0001109758211455351,0.028867513459481322,0.01990494188602919
NmfL2Estimator,50,6,0.13639691088852124,0.7125,0.8426301413835987,0.0,30.0,0.0003981801379776882,0.018750000000000003,0.014261316129463323
NmfL2Estimator,50,7,0.14784364622947743,0.7083333333333334,0.8354801134734003,0.0,35.0,0.00011327893928267878,0.0072168783648703765,0.0087480055591524
