alg,n_components,noise_id,rre,acc_score,nmi_score,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,50,0,0.16708413143176803,0.22206875383670965,0.2889133826525194,0.0,0.5,0.0005899036405692979,0.02934458400810266,0.03177811025278792
ModifiedNMF,50,1,0.45589029473338855,0.2076427255985267,0.26713421530932996,0.10000000000000002,0.5,0.0008168440655424334,0.009970721835961198,0.019932074642158785
ModifiedNMF,50,2,0.5557553704956736,0.2038060159607121,0.27628872577408614,0.20000000000000004,0.5,0.0007718495219983254,0.01664053111236459,0.024306413669068903
ModifiedNMF,50,3,0.6100825548482028,0.17786985880908532,0.23745659914536665,0.30000000000000004,0.5,0.0006878456681047501,0.011559134473695864,0.015156451622958747
ModifiedNMF,50,4,0.6449672273822525,0.1586863106200123,0.20732017148549078,0.4000000000000001,0.5,0.000606998444771657,0.009348983677420531,0.00894653671288946
ModifiedNMF,50,5,0.6690177440578381,0.1358195211786372,0.15647619112046351,0.5,0.5,0.00046232490643997496,0.006687771199969585,0.006515048542913349
ModifiedNMF,50,6,0.6874193669731351,0.11786372007366482,0.13070063376286936,0.6000000000000001,0.5,0.00044362354548919844,0.0034759827050049497,0.007870111617389056
NmfHyperEstimator,50,0,0.3846106943668484,0.14441375076734192,0.18068218635724245,0.0,0.5,0.1877565082893573,0.049210254627778116,0.08210255809796567
NmfHyperEstimator,50,1,0.4564898292961958,0.18845917740945364,0.25392793468102526,0.10000000000000002,0.5,0.004420540004433228,0.01499913041481966,0.0234734881600767
NmfHyperEstimator,50,2,0.5545810323080488,0.16083486801718846,0.225906204019881,0.20000000000000004,0.5,0.0008434947956216218,0.0016168897717699067,0.013139060388422552
NmfHyperEstimator,50,3,0.6079417531101506,0.14748311847759363,0.1950047429569224,0.30000000000000004,0.5,0.002334134788834025,0.010898416683597908,0.008887288494518504
NmfHyperEstimator,50,4,0.6396514171948342,0.14993861264579497,0.19407393535503314,0.4000000000000001,0.5,0.0003367052299528321,0.007342463912772084,0.005056179288247068
NmfHyperEstimator,50,5,0.6633995496034489,0.13505217925107427,0.163029702947703,0.5,0.5,0.00047430515437644626,0.005793304508341591,0.013090571212807205
NmfHyperEstimator,50,6,0.6819711220470867,0.1170963781461019,0.1339215977952259,0.6000000000000001,0.5,0.0004962585980598803,0.004471701130857412,0.002259593473061148
NmfL1Estimator,50,0,0.3281541210730848,0.08732351135666054,0.08869258781860656,0.0,0.5,0.0054590895523761425,0.0010632601642534517,0.008931953742125782
NmfL1Estimator,50,1,0.5231165514396245,0.08425414364640883,0.08671144601201124,0.10000000000000002,0.5,0.00032227648847089094,0.0012181175465306587,0.00825767258491043
NmfL1Estimator,50,2,0.6125670130205335,0.08701657458563535,0.09033266355839346,0.20000000000000004,0.5,0.0006667578306335002,0.0016600143993848895,0.005348436688688838
NmfL1Estimator,50,3,0.6667099558272525,0.08348680171884593,0.08590844423372569,0.30000000000000004,0.5,0.0008026882106521603,0.0014065609867881686,0.0021812368198412878
NmfL1Estimator,50,4,0.705003763285311,0.08640270104358501,0.08968283236317286,0.4000000000000001,0.5,0.0011423201818723636,0.0020760818383162446,0.007024067651864502
NmfL1Estimator,50,5,0.7325382207742158,0.0865561694290976,0.08939246784070803,0.5,0.5,0.0003631881639128751,0.0018416206261510082,0.007833074312436695
NmfL1Estimator,50,6,0.7560759331995616,0.08855125844076121,0.09099149927870721,0.6000000000000001,0.5,0.0005029613453452956,0.0007032804933940804,0.004706584475045711
NmfL2Estimator,50,0,0.18334455689937953,0.25659914057704114,0.34757478638045236,0.0,0.5,0.0010563705386548146,0.004177611291840471,0.01327857304115153
NmfL2Estimator,50,1,0.4613784033298727,0.2302025782688766,0.3047654199835881,0.10000000000000002,0.5,0.0009665522248877334,0.00575045856206113,0.009125389451517989
NmfL2Estimator,50,2,0.5603031767846919,0.19536525475751995,0.26434701691924856,0.20000000000000004,0.5,0.0006576950154501589,0.00789877792047746,0.01734229467402556
NmfL2Estimator,50,3,0.6140209511391064,0.17203806015960713,0.2391752456460047,0.30000000000000004,0.5,0.0007948653094655136,0.008188656581923939,0.005075451707203039
NmfL2Estimator,50,4,0.6488828174226837,0.14917127071823202,0.18723334401418826,0.4000000000000001,0.5,0.0005556094950140153,0.008027438201732379,0.024876484414167205
NmfL2Estimator,50,5,0.6727815502728367,0.12615101289134437,0.1483067825700388,0.5,0.5,0.0005331988781719622,0.005188502610305997,0.004015827306810648
NmfL2Estimator,50,6,0.6912196456913874,0.10512584407612031,0.1071366244138159,0.6000000000000001,0.5,0.00039186631709826945,0.002076081838316248,0.007146331496205534
