,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
25,NmfL2Estimator,50,{},2,0,0.5604572344473502,0.20257826887661143,0.27544801944356084,0.2,0.5
26,NmfHyperEstimator,50,{},2,0,0.5547539616463141,0.16068139963167588,0.214259293120211,0.2,0.5
27,NmfL1Estimator,50,{},2,0,0.6132445570196594,0.08747697974217311,0.0858810861016212,0.2,0.5
28,ModifiedNMF,50,{},2,1,0.5549497253134258,0.22283609576427257,0.3033960089497764,0.2,0.5
29,NmfL2Estimator,50,{},2,1,0.5595821274484251,0.19659300184162062,0.2732301912727194,0.2,0.5
30,NmfHyperEstimator,50,{},2,1,0.5553246610392127,0.1625230202578269,0.22330962337941485,0.2,0.5
31,NmfL1Estimator,50,{},2,1,0.6119115920013172,0.08517495395948435,0.09626565724775499,0.2,0.5
32,ModifiedNMF,50,{},2,2,0.5564882742356833,0.19659300184162062,0.2564344378244299,0.2,0.5
33,NmfL2Estimator,50,{},2,2,0.5608701684583004,0.1869244935543278,0.24436284004146544,0.2,0.5
34,NmfHyperEstimator,50,{},2,2,0.5536644742386194,0.15930018416206262,0.24014969556001725,0.2,0.5
35,NmfL1Estimator,50,{},2,2,0.6125448900406238,0.08839779005524862,0.08885124732580418,0.2,0.5
36,ModifiedNMF,50,{},3,0,0.610246918126011,0.19060773480662985,0.2549311075560758,0.30000000000000004,0.5
37,NmfL2Estimator,50,{},3,0,0.6141382349920925,0.18139963167587478,0.24369679128832314,0.30000000000000004,0.5
38,NmfHyperEstimator,50,{},3,0,0.6067279300195971,0.15377532228360957,0.2044258212658242,0.30000000000000004,0.5
39,NmfL1Estimator,50,{},3,0,0.6671839487758199,0.08379373848987108,0.08437908125774687,0.30000000000000004,0.5
40,ModifiedNMF,50,{},3,1,0.6093274168973352,0.17495395948434622,0.22788316753531218,0.30000000000000004,0.5
41,NmfL2Estimator,50,{},3,1,0.6131739601569512,0.1685082872928177,0.24014354835593385,0.30000000000000004,0.5
42,NmfHyperEstimator,50,{},3,1,0.6064646396217308,0.15377532228360957,0.19381788928899793,0.30000000000000004,0.5
43,NmfL1Estimator,50,{},3,1,0.6657831721560368,0.08195211786372007,0.08494004155468508,0.30000000000000004,0.5
44,ModifiedNMF,50,{},3,2,0.6106733295212623,0.1680478821362799,0.229555522344712,0.30000000000000004,0.5
45,NmfL2Estimator,50,{},3,2,0.6147506582682754,0.1662062615101289,0.23368539729375712,0.30000000000000004,0.5
46,NmfHyperEstimator,50,{},3,2,0.6106326896891242,0.13489871086556168,0.18677051831594518,0.30000000000000004,0.5
47,NmfL1Estimator,50,{},3,2,0.6671627465499007,0.0847145488029466,0.08840620988874516,0.30000000000000004,0.5
48,ModifiedNMF,50,{},4,0,0.6450463657017826,0.15423572744014732,0.20354282943766436,0.4,0.5
49,NmfL2Estimator,50,{},4,0,0.6489951768820015,0.14548802946593,0.1738374626789585,0.4,0.5
50,NmfHyperEstimator,50,{},4,0,0.6398858914764246,0.1464088397790055,0.18913328039130303,0.4,0.5
51,NmfL1Estimator,50,{},4,0,0.7050947476050468,0.08839779005524862,0.0977746668977341,0.4,0.5
52,ModifiedNMF,50,{},4,1,0.6443245413542592,0.1694290976058932,0.21753586385231952,0.4,0.5
53,NmfL2Estimator,50,{},4,1,0.6482796153672683,0.15837937384898712,0.21593701687247646,0.4,0.5
54,NmfHyperEstimator,50,{},4,1,0.6392655971611882,0.14502762430939226,0.19385030749355542,0.4,0.5
55,NmfL1Estimator,50,{},4,1,0.7038186717273718,0.08425414364640885,0.08611564965379533,0.4,0.5
56,ModifiedNMF,50,{},4,2,0.6455307750907161,0.15239410681399632,0.20088182116648845,0.4,0.5
57,NmfL2Estimator,50,{},4,2,0.6493736600187814,0.143646408839779,0.1719255524911298,0.4,0.5
58,NmfHyperEstimator,50,{},4,2,0.6398027629468899,0.15837937384898712,0.199238218180241,0.4,0.5
59,NmfL1Estimator,50,{},4,2,0.7060978705235145,0.0865561694290976,0.08515818053798913,0.4,0.5
60,ModifiedNMF,50,{},5,0,0.6690950888223465,0.13535911602209943,0.16398672535132955,0.5,0.5
61,NmfL2Estimator,50,{},5,0,0.6728607185819937,0.12338858195211787,0.15153400481444299,0.5,0.5
62,NmfHyperEstimator,50,{},5,0,0.6634946452078694,0.1289134438305709,0.15219115221729335,0.5,0.5
63,NmfL1Estimator,50,{},5,0,0.7322288630702117,0.0865561694290976,0.0969302441408426,0.5,0.5
64,ModifiedNMF,50,{},5,1,0.6685216247828553,0.1427255985267035,0.15234707351117013,0.5,0.5
65,NmfL2Estimator,50,{},5,1,0.6722131936456361,0.12292817679558012,0.14957685769932857,0.5,0.5
