,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
29,NmfL2Estimator,50,{},2,1,0.15065145408755415,0.22513812154696133,0.3024948608577706,0.0,10.0
30,NmfHyperEstimator,50,{},2,1,0.16489456155256285,0.1703499079189687,0.2057583678332999,0.0,10.0
31,NmfL1Estimator,50,{},2,1,0.2698141342694735,0.08287292817679558,0.08439557175147917,0.0,10.0
32,ModifiedNMF,50,{},2,2,0.13406673017785942,0.22099447513812154,0.3054998637314542,0.0,10.0
33,NmfL2Estimator,50,{},2,2,0.14926264062586192,0.20810313075506445,0.2988628058859075,0.0,10.0
34,NmfHyperEstimator,50,{},2,2,0.16833343923215086,0.1643646408839779,0.2187282794574893,0.0,10.0
35,NmfL1Estimator,50,{},2,2,0.2734847447650352,0.08287292817679558,0.08022939906615337,0.0,10.0
36,ModifiedNMF,50,{},3,0,0.12995301233475343,0.24585635359116023,0.33205793108274806,0.0,15.0
37,NmfL2Estimator,50,{},3,0,0.1454938006805253,0.19889502762430938,0.2744240518152105,0.0,15.0
38,NmfHyperEstimator,50,{},3,0,0.14631588540565413,0.17449355432780847,0.24000866250894445,0.0,15.0
39,NmfL1Estimator,50,{},3,0,0.29961440486151847,0.08057090239410682,0.08400458441748698,0.0,15.0
40,ModifiedNMF,50,{},3,1,0.12973712775669083,0.21823204419889503,0.2844392949594266,0.0,15.0
41,NmfL2Estimator,50,{},3,1,0.14555226025841594,0.20395948434622468,0.26897254950358657,0.0,15.0
42,NmfHyperEstimator,50,{},3,1,0.14007012666866042,0.1998158379373849,0.25887807196401813,0.0,15.0
43,NmfL1Estimator,50,{},3,1,0.31503359300615214,0.08701657458563536,0.08961638188036565,0.0,15.0
44,ModifiedNMF,50,{},3,2,0.12993859796761725,0.23066298342541436,0.313100410268087,0.0,15.0
45,NmfL2Estimator,50,{},3,2,0.14505695167984395,0.20027624309392264,0.2815235152914602,0.0,15.0
46,NmfHyperEstimator,50,{},3,2,0.14342258787110918,0.18968692449355432,0.23964393001965345,0.0,15.0
47,NmfL1Estimator,50,{},3,2,0.305989678466494,0.07734806629834254,0.06868312739987836,0.0,15.0
48,ModifiedNMF,50,{},4,0,0.13672407782029694,0.2094843462246777,0.2825334450996316,0.0,20.0
49,NmfL2Estimator,50,{},4,0,0.15105873648798152,0.20626151012891344,0.2754941258623945,0.0,20.0
50,NmfHyperEstimator,50,{},4,0,0.15500602004010672,0.1643646408839779,0.21059823849120024,0.0,20.0
51,NmfL1Estimator,50,{},4,0,0.30858220787002966,0.07688766114180479,0.08105251719910646,0.0,20.0
52,ModifiedNMF,50,{},4,1,0.13670612549048936,0.253683241252302,0.32171187835580245,0.0,20.0
53,NmfL2Estimator,50,{},4,1,0.1519851176035159,0.1910681399631676,0.2730182300531838,0.0,20.0
54,NmfHyperEstimator,50,{},4,1,0.17449488040002561,0.106353591160221,0.12468283246194091,0.0,20.0
55,NmfL1Estimator,50,{},4,1,0.31105160026704737,0.08149171270718232,0.07518148902864567,0.0,20.0
56,ModifiedNMF,50,{},4,2,0.1367961063854895,0.23388581952117865,0.3060167224338051,0.0,20.0
57,NmfL2Estimator,50,{},4,2,0.1511921565295747,0.18922651933701656,0.24151781549222923,0.0,20.0
58,NmfHyperEstimator,50,{},4,2,0.16363645335283244,0.13443830570902393,0.16346474583026374,0.0,20.0
