alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,20,0,0.2161989684727612,0.16270718232044198,0.22333054015217027,0.0,0.5,0.0004714273303899182,0.01778260904375014,0.017007680577453225
ModifiedNMF,20,1,0.4720300954330175,0.16832412523020257,0.21963438777243788,0.1,0.5,0.0008661746221513462,0.005275608291208549,0.010007290928543222
ModifiedNMF,20,2,0.5680649638635515,0.15322283609576426,0.20446373270371865,0.2,0.5,0.0007494696092053016,0.01670325542308497,0.02141954780596543
ModifiedNMF,20,3,0.6215166655463404,0.15239410681399632,0.2064879463800628,0.30000000000000004,0.5,0.0006653448441460363,0.006727274031400763,0.007984113852178048
ModifiedNMF,20,4,0.6562461319460344,0.14769797421731123,0.1953969021266148,0.4,0.5,0.000532855784298627,0.009175818171899169,0.007263577211453749
ModifiedNMF,20,5,0.680748572387073,0.14042357274401474,0.18428923822570079,0.5,0.5,0.0004729005391681558,0.007683388245063831,0.007301483673592789
ModifiedNMF,20,6,0.6996074407341922,0.1263351749539595,0.14067673586012622,0.6000000000000001,0.5,0.00042609319831801647,0.003968574942819516,0.008447929117164639
NmfHyperEstimator,20,0,0.4960606863639191,0.10368324125230204,0.1164886710936891,0.0,0.5,0.0007114429987064328,0.005661298765723532,0.017914021863439367
NmfHyperEstimator,20,1,0.47186877385889525,0.16694290976058931,0.21551585004345317,0.1,0.5,0.0019920958342927214,0.014308159724690562,0.02271178680439371
NmfHyperEstimator,20,2,0.5696130813441432,0.14659300184162063,0.1905529388273907,0.2,0.5,0.0013701533308396851,0.00677124361077235,0.017418965680286523
NmfHyperEstimator,20,3,0.622301321083853,0.1320441988950276,0.17301619163804852,0.30000000000000004,0.5,0.0005762041484097903,0.005151602479078944,0.015409133541080058
NmfHyperEstimator,20,4,0.6557006779103111,0.1380294659300184,0.1836955168898586,0.4,0.5,0.0005080350968285394,0.0017652200287919789,0.005943391992846312
NmfHyperEstimator,20,5,0.6804027290121425,0.12071823204419889,0.14608427277524724,0.5,0.5,0.0004490893393251438,0.00423722849533832,0.011855721352547236
NmfHyperEstimator,20,6,0.6993570105271333,0.10994475138121547,0.12090843162983234,0.6000000000000001,0.5,0.0004284501715354365,0.004920092083754157,0.007552642540047596
NmfL1Estimator,20,0,0.33002098405931335,0.0861878453038674,0.08904965736490991,0.0,0.5,0.0030886753174532385,0.002217604894805208,0.00737429446387484
NmfL1Estimator,20,1,0.5242911390764372,0.08710865561694289,0.08534677845792422,0.1,0.5,0.0020277976435833637,0.0019369874740297018,0.005529189341353015
NmfL1Estimator,20,2,0.6123033233462205,0.08646408839779005,0.09117553246959825,0.2,0.5,0.0006284406335510174,0.0035123814222395313,0.004082255158131418
NmfL1Estimator,20,3,0.6667577104274047,0.08775322283609577,0.08887848597155686,0.30000000000000004,0.5,0.0009949821091302204,0.0035002905725134794,0.007192217651185599
NmfL1Estimator,20,4,0.7048656279116549,0.0876611418047882,0.0920479389247191,0.4,0.5,0.0010467202865326979,0.004021633112692905,0.005380519856068936
NmfL1Estimator,20,5,0.733189336196354,0.0883977900552486,0.092497469069052,0.5,0.5,0.0004862383420603422,0.0023476148773447472,0.005515294132785634
NmfL1Estimator,20,6,0.7569090862109095,0.08931860036832412,0.08925371150436405,0.6000000000000001,0.5,0.0009352079375528531,0.005329575001284634,0.007635941707264377
NmfL2Estimator,20,0,0.22264588450399989,0.18802946593001843,0.26162024338646256,0.0,0.5,0.0006099913989053468,0.008430570331136861,0.016226277832862485
NmfL2Estimator,20,1,0.4747038013867873,0.18720073664825046,0.2548071149701956,0.1,0.5,0.0013121720329996496,0.0030987695525716095,0.013948174816832583
NmfL2Estimator,20,2,0.5702158413243423,0.1718232044198895,0.2365864899026599,0.2,0.5,0.0007960191078929153,0.008498186266041978,0.007277836997803268
NmfL2Estimator,20,3,0.6237369323471881,0.15423572744014732,0.20221185730832442,0.30000000000000004,0.5,0.000632852351249334,0.008248836495013312,0.006372363214234118
NmfL2Estimator,20,4,0.6582460919700381,0.1382136279926335,0.1796856791253309,0.4,0.5,0.0005016163462878095,0.00655491483433312,0.008956100166741072
NmfL2Estimator,20,5,0.6826907811714227,0.12145488029465931,0.13881136836489483,0.5,0.5,0.000576168923568074,0.004800151572367722,0.008989996084285752
NmfL2Estimator,20,6,0.7014381985052587,0.10414364640883977,0.11207667287678831,0.6000000000000001,0.5,0.0004431720506240521,0.0027891586060517395,0.0038190079996359536
