,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
36,ModifiedNMF,20,{},1,4,0.4716640280595205,0.1703499079189687,0.23684717783983408,0.1,0.5
37,NmfL2Estimator,20,{},1,4,0.4736037803022866,0.19060773480662985,0.2661018044573572,0.1,0.5
38,NmfHyperEstimator,20,{},1,4,0.4693140848903355,0.17495395948434622,0.2170890308398505,0.1,0.5
39,NmfL1Estimator,20,{},1,4,0.5246252854181949,0.08701657458563536,0.09072652080101788,0.1,0.5
40,ModifiedNMF,20,{},2,0,0.5684609163907964,0.14226519337016574,0.2026491231160579,0.2,0.5
41,NmfL2Estimator,20,{},2,0,0.5704593575609985,0.16482504604051565,0.2360371196497045,0.2,0.5
42,NmfHyperEstimator,20,{},2,0,0.5707679630322627,0.14134438305709024,0.17007238205515207,0.2,0.5
43,NmfL1Estimator,20,{},2,0,0.6126190013814281,0.0856353591160221,0.09349434836143351,0.2,0.5
44,ModifiedNMF,20,{},2,1,0.567558113356999,0.17265193370165746,0.2393536008458347,0.2,0.5
45,NmfL2Estimator,20,{},2,1,0.5695696911736244,0.179097605893186,0.24912973659050563,0.2,0.5
46,NmfHyperEstimator,20,{},2,1,0.5685427063965759,0.15009208103130756,0.20424397306311676,0.2,0.5
47,NmfL1Estimator,20,{},2,1,0.611663137563214,0.09208103130755065,0.08972014746416285,0.2,0.5
48,ModifiedNMF,20,{},2,2,0.5692059320403713,0.1358195211786372,0.18433925753681518,0.2,0.5
49,NmfL2Estimator,20,{},2,2,0.5715055397574433,0.16068139963167588,0.23235076886372008,0.2,0.5
50,NmfHyperEstimator,20,{},2,2,0.5713898435270405,0.13766114180478822,0.17441170995177294,0.2,0.5
51,NmfL1Estimator,20,{},2,2,0.613044763034526,0.0856353591160221,0.09091650236651996,0.2,0.5
52,ModifiedNMF,20,{},2,3,0.5675297761688302,0.1694290976058932,0.2059172914448779,0.2,0.5
53,NmfL2Estimator,20,{},2,3,0.5697948004734313,0.17587476979742173,0.23094715937826796,0.2,0.5
54,NmfHyperEstimator,20,{},2,3,0.5684171343300986,0.15377532228360957,0.20847334697186207,0.2,0.5
55,NmfL1Estimator,20,{},2,3,0.6116292335320687,0.0865561694290976,0.08544588197211674,0.2,0.5
56,ModifiedNMF,20,{},2,4,0.5675700813607605,0.14594843462246776,0.19005939057500743,0.2,0.5
57,NmfL2Estimator,20,{},2,4,0.5697498176562142,0.17863720073664824,0.2344676650311014,0.2,0.5
58,NmfHyperEstimator,20,{},2,4,0.5689477594347382,0.15009208103130756,0.19556328209504956,0.2,0.5
59,NmfL1Estimator,20,{},2,4,0.6125604812198662,0.08241252302025782,0.09630078218375827,0.2,0.5
