,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
0,ModifiedNMF,20,{},0,0,0.216288642920065,0.15285451197053407,0.21491236282629692,0.0,0.0
1,NmfL2Estimator,20,{},0,0,0.2234423782549937,0.19705340699815838,0.25747031141465754,0.0,0.0
2,NmfHyperEstimator,20,{},0,0,0.21458422621522671,0.14410681399631675,0.19365387713628304,0.0,0.0
3,NmfL1Estimator,20,{},0,0,0.3333433136853939,0.08747697974217311,0.0908917902093863,0.0,0.0
4,ModifiedNMF,20,{},0,1,0.21525501226521662,0.17771639042357273,0.22508019639873278,0.0,0.0
5,NmfL2Estimator,20,{},0,1,0.22135127612113611,0.1887661141804788,0.24377333203031354,0.0,0.0
6,NmfHyperEstimator,20,{},0,1,0.20378343870085816,0.19337016574585636,0.2455270321318855,0.0,0.0
7,NmfL1Estimator,20,{},0,1,0.33295114056531605,0.08839779005524862,0.09426080609474209,0.0,0.0
8,ModifiedNMF,20,{},0,2,0.21484991703711,0.15607734806629833,0.2169247872763261,0.0,0.0
9,NmfL2Estimator,20,{},0,2,0.22221512150576575,0.1938305709023941,0.25375598040673847,0.0,0.0
10,NmfHyperEstimator,20,{},0,2,0.20210410109192653,0.19659300184162062,0.26790937124261505,0.0,0.0
11,NmfL1Estimator,20,{},0,2,0.3322420955602373,0.08885819521178637,0.09613985076385946,0.0,0.0
12,ModifiedNMF,20,{},0,3,0.21640804285270476,0.17495395948434622,0.23512696098138688,0.0,0.0
13,NmfL2Estimator,20,{},0,3,0.2239438326471685,0.1910681399631676,0.2527093589609662,0.0,0.0
14,NmfHyperEstimator,20,{},0,3,0.4961811329943376,0.11003683241252302,0.12881399817203731,0.0,0.0
15,NmfL1Estimator,20,{},0,3,0.3321453141040382,0.08747697974217311,0.08186116372820458,0.0,0.0
16,ModifiedNMF,20,{},0,4,0.21675345349495975,0.1860036832412523,0.24096209486803466,0.0,0.0
17,NmfL2Estimator,20,{},0,4,0.22295875135806908,0.17173112338858196,0.2323336373538145,0.0,0.0
18,NmfHyperEstimator,20,{},0,4,0.4944417084841921,0.11372007366482505,0.1326193847799116,0.0,0.0
19,NmfL1Estimator,20,{},0,4,0.3328931548952787,0.09300184162062615,0.08710796373212944,0.0,0.0
20,ModifiedNMF,20,{},1,0,0.18307797427040448,0.16390423572744015,0.20774131706889254,0.0,5.0
21,NmfL2Estimator,20,{},1,0,0.18962193091863824,0.1860036832412523,0.25316278462253367,0.0,5.0
22,NmfHyperEstimator,20,{},1,0,0.1830850550633452,0.18139963167587478,0.2410773386680125,0.0,5.0
23,NmfL1Estimator,20,{},1,0,0.2948489472925851,0.08793738489871086,0.08069322412012507,0.0,5.0
24,ModifiedNMF,20,{},1,1,0.18153948962736596,0.1680478821362799,0.2300067841903016,0.0,5.0
25,NmfL2Estimator,20,{},1,1,0.18795957078076217,0.20211786372007368,0.26005632941833723,0.0,5.0
26,NmfHyperEstimator,20,{},1,1,0.18548554461059433,0.1721915285451197,0.2196615639224966,0.0,5.0
27,NmfL1Estimator,20,{},1,1,0.29442798871014303,0.08333333333333333,0.0731266640358408,0.0,5.0
28,ModifiedNMF,20,{},1,2,0.18186051221155947,0.16298342541436464,0.22172357203799778,0.0,5.0
29,NmfL2Estimator,20,{},1,2,0.18941981222471774,0.18186003683241253,0.2558369400240738,0.0,5.0
30,NmfHyperEstimator,20,{},1,2,0.1868401636112148,0.16666666666666666,0.2344017339538363,0.0,5.0
31,NmfL1Estimator,20,{},1,2,0.29546412028967955,0.08609576427255985,0.07957328629007153,0.0,5.0
32,ModifiedNMF,20,{},1,3,0.1822686274904747,0.16988950276243095,0.24223222489946455,0.0,5.0
33,NmfL2Estimator,20,{},1,3,0.18951926850047124,0.18232044198895028,0.24185036681126346,0.0,5.0
34,NmfHyperEstimator,20,{},1,3,0.1862143958941835,0.16114180478821363,0.21204401745833926,0.0,5.0
35,NmfL1Estimator,20,{},1,3,0.2994979592695581,0.08195211786372007,0.09332540660679138,0.0,5.0
36,ModifiedNMF,20,{},1,4,0.18304338786383634,0.16574585635359115,0.23103703758682412,0.0,5.0
37,NmfL2Estimator,20,{},1,4,0.18915596526538533,0.18370165745856354,0.2592433277220871,0.0,5.0
38,NmfHyperEstimator,20,{},1,4,0.18481961662143132,0.18554327808471455,0.23319203335252287,0.0,5.0
39,NmfL1Estimator,20,{},1,4,0.2943982299902384,0.08379373848987108,0.09467389806030256,0.0,5.0
40,ModifiedNMF,20,{},2,0,0.1683078359832547,0.1721915285451197,0.24624703086494634,0.0,10.0
41,NmfL2Estimator,20,{},2,0,0.17586243581099611,0.17541436464088397,0.2540075376572054,0.0,10.0
42,NmfHyperEstimator,20,{},2,0,0.17308658199130733,0.16114180478821363,0.2028998609030679,0.0,10.0
43,NmfL1Estimator,20,{},2,0,0.28013802108614044,0.07780847145488029,0.08965955537830557,0.0,10.0
44,ModifiedNMF,20,{},2,1,0.167470607078544,0.1680478821362799,0.23849392303225836,0.0,10.0
45,NmfL2Estimator,20,{},2,1,0.17487267138618376,0.18554327808471455,0.25200988080099096,0.0,10.0
46,NmfHyperEstimator,20,{},2,1,0.16587417837889362,0.17863720073664824,0.23924130904083069,0.0,10.0
47,NmfL1Estimator,20,{},2,1,0.28807225904069916,0.08379373848987108,0.0783656482429664,0.0,10.0
48,ModifiedNMF,20,{},2,2,0.16740771962052736,0.15377532228360957,0.2211613594709826,0.0,10.0
49,NmfL2Estimator,20,{},2,2,0.17599452556787878,0.17587476979742173,0.24000456527143618,0.0,10.0
50,NmfHyperEstimator,20,{},2,2,0.18233252005274114,0.1464088397790055,0.202032964465801,0.0,10.0
51,NmfL1Estimator,20,{},2,2,0.2871746384137655,0.08609576427255985,0.08965246923129504,0.0,10.0
52,ModifiedNMF,20,{},2,3,0.1680534973174698,0.15976058931860038,0.21524903219333422,0.0,10.0
53,NmfL2Estimator,20,{},2,3,0.1763386520347912,0.17173112338858196,0.22855275171349693,0.0,10.0
54,NmfHyperEstimator,20,{},2,3,0.1783053883190017,0.15976058931860038,0.20056895962676694,0.0,10.0
55,NmfL1Estimator,20,{},2,3,0.28209615748983935,0.08839779005524862,0.08295268199281441,0.0,10.0
56,ModifiedNMF,20,{},2,4,0.16835997527403823,0.1662062615101289,0.25155612508946396,0.0,10.0
57,NmfL2Estimator,20,{},2,4,0.1767490624362886,0.17863720073664824,0.23957369799420358,0.0,10.0
58,NmfHyperEstimator,20,{},2,4,0.16720041383899262,0.179097605893186,0.2381822319806447,0.0,10.0
59,NmfL1Estimator,20,{},2,4,0.2838074429486599,0.08195211786372007,0.09275994199722071,0.0,10.0
60,ModifiedNMF,20,{},3,0,0.16281089905964036,0.16206261510128914,0.20938067439689892,0.0,15.0
61,NmfL2Estimator,20,{},3,0,0.17076134116530015,0.1625230202578269,0.22729814772343143,0.0,15.0
62,NmfHyperEstimator,20,{},3,0,0.17699258216968985,0.1298342541436464,0.16349556247610045,0.0,15.0
63,NmfL1Estimator,20,{},3,0,0.27447954085140747,0.08379373848987108,0.08005072579788018,0.0,15.0
64,ModifiedNMF,20,{},3,1,0.16189075983915036,0.1643646408839779,0.2036274225402902,0.0,15.0
65,NmfL2Estimator,20,{},3,1,0.16954078495430439,0.1703499079189687,0.2398050597477033,0.0,15.0
66,NmfHyperEstimator,20,{},3,1,0.17550156016609741,0.1464088397790055,0.18543164707221868,0.0,15.0
67,NmfL1Estimator,20,{},3,1,0.27169200097041163,0.08057090239410682,0.08317915695768449,0.0,15.0
68,ModifiedNMF,20,{},3,2,0.16215691971336704,0.15377532228360957,0.21694887147277406,0.0,15.0
